Single_Li2TiO3_SPEX1
Wavelength = 1.54059 Å (Cu)
Angle	I(o)	I(b)
10.0	1740.0	1740.8
10.01	1760.0	1741.5
10.02	1757.0	1742.2
10.03	1734.0	1742.9
10.04	1742.0	1743.5
10.05	1785.0	1744.2
10.06	1762.0	1744.9
10.07	1756.0	1745.6
10.08	1779.0	1746.3
10.09	1754.0	1747.0
10.1	1738.0	1747.7
10.11	1722.0	1748.3
10.12	1745.0	1749.0
10.13	1763.0	1749.7
10.14	1765.0	1750.4
10.15	1796.0	1751.1
10.16	1762.0	1751.8
10.17	1781.0	1752.4
10.18	1770.0	1753.1
10.19	1802.0	1753.8
10.2	1846.0	1754.5
10.21	1856.0	1755.2
10.22	1766.0	1755.9
10.23	1765.0	1756.6
10.24	1775.0	1757.2
10.25	1787.0	1757.9
10.26	1733.0	1758.6
10.27	1761.0	1759.3
10.28	1811.0	1760.0
10.29	1801.0	1760.7
10.3	1750.0	1761.4
10.31	1740.0	1762.0
10.32	1802.0	1762.7
10.33	1765.0	1763.4
10.34	1787.0	1764.1
10.35	1760.0	1764.8
10.36	1761.0	1765.5
10.37	1770.0	1766.2
10.38	1726.0	1766.8
10.39	1724.0	1767.5
10.4	1752.0	1768.2
10.41	1781.0	1768.9
10.42	1783.0	1769.6
10.43	1771.0	1770.3
10.44	1759.0	1771.0
10.45	1742.0	1771.7
10.46	1766.0	1772.3
10.47	1785.0	1773.0
10.48	1822.0	1773.7
10.49	1863.0	1774.4
10.5	1883.0	1775.1
10.51	1818.0	1775.8
10.52	1795.0	1776.5
10.53	1791.0	1777.2
10.54	1786.0	1777.8
10.55	1791.0	1778.5
10.56	1787.0	1779.2
10.57	1838.0	1779.9
10.58	1815.0	1780.6
10.59	1791.0	1781.3
10.6	1820.0	1782.0
10.61	1796.0	1782.7
10.62	1847.0	1783.3
10.63	1877.0	1784.0
10.64	1829.0	1784.7
10.65	1823.0	1785.4
10.66	1795.0	1786.1
10.67	1818.0	1786.8
10.68	1797.0	1787.5
10.69	1797.0	1788.2
10.7	1790.0	1788.9
10.71	1835.0	1789.5
10.72	1855.0	1790.2
10.73	1833.0	1790.9
10.74	1795.0	1791.6
10.75	1777.0	1792.3
10.76	1764.0	1793.0
10.77	1856.0	1793.7
10.78	1832.0	1794.4
10.79	1828.0	1795.1
10.8	1854.0	1795.8
10.81	1804.0	1796.4
10.82	1780.0	1797.1
10.83	1766.0	1797.8
10.84	1805.0	1798.5
10.85	1805.0	1799.2
10.86	1829.0	1799.9
10.87	1848.0	1800.6
10.88	1821.0	1801.3
10.89	1825.0	1802.0
10.9	1817.0	1802.7
10.91	1848.0	1803.4
10.92	1816.0	1804.1
10.93	1857.0	1804.7
10.94	1865.0	1805.4
10.95	1857.0	1806.1
10.96	1873.0	1806.8
10.97	1833.0	1807.5
10.98	1879.0	1808.2
10.99	1891.0	1808.9
11.0	1861.0	1809.6
11.01	1855.0	1810.3
11.02	1853.0	1811.0
11.03	1844.0	1811.7
11.04	1861.0	1812.4
11.05	1846.0	1813.1
11.06	1855.0	1813.8
11.07	1827.0	1814.5
11.08	1817.0	1815.2
11.09	1819.0	1815.8
11.1	1830.0	1816.5
11.11	1855.0	1817.2
11.12	1807.0	1817.9
11.13	1843.0	1818.6
11.14	1855.0	1819.3
11.15	1861.0	1820.0
11.16	1842.0	1820.7
11.17	1850.0	1821.4
11.18	1884.0	1822.1
11.19	1864.0	1822.8
11.2	1811.0	1823.5
11.21	1821.0	1824.2
11.22	1815.0	1824.9
11.23	1796.0	1825.6
11.24	1877.0	1826.3
11.25	1848.0	1827.0
11.26	1872.0	1827.7
11.27	1897.0	1828.4
11.28	1918.0	1829.1
11.29	1892.0	1829.8
11.3	1876.0	1830.5
11.31	1896.0	1831.2
11.32	1798.0	1831.9
11.33	1845.0	1832.6
11.34	1897.0	1833.3
11.35	1867.0	1834.0
11.36	1857.0	1834.7
11.37	1887.0	1835.4
11.38	1875.0	1836.1
11.39	1879.0	1836.8
11.4	1898.0	1837.5
11.41	1867.0	1838.2
11.42	1888.0	1838.9
11.43	1860.0	1839.6
11.44	1866.0	1840.3
11.45	1935.0	1841.0
11.46	1917.0	1841.7
11.47	1869.0	1842.4
11.48	1869.0	1843.1
11.49	1857.0	1843.8
11.5	1813.0	1844.5
11.51	1874.0	1845.2
11.52	1923.0	1845.9
11.53	1870.0	1846.6
11.54	1881.0	1847.3
11.55	1888.0	1848.0
11.56	1814.0	1848.7
11.57	1859.0	1849.4
11.58	1934.0	1850.1
11.59	1901.0	1850.8
11.6	1879.0	1851.5
11.61	1874.0	1852.2
11.62	1894.0	1852.9
11.63	1868.0	1853.6
11.64	1883.0	1854.3
11.65	1909.0	1855.0
11.66	1873.0	1855.7
11.67	1843.0	1856.4
11.68	1866.0	1857.1
11.69	1870.0	1857.8
11.7	1871.0	1858.5
11.71	1863.0	1859.2
11.72	1841.0	1859.9
11.73	1851.0	1860.6
11.74	1896.0	1861.3
11.75	1926.0	1862.0
11.76	1926.0	1862.7
11.77	1914.0	1863.4
11.78	1893.0	1864.1
11.79	1903.0	1864.8
11.8	1935.0	1865.5
11.81	1897.0	1866.2
11.82	1877.0	1866.9
11.83	1939.0	1867.6
11.84	1913.0	1868.3
11.85	1913.0	1869.0
11.86	1872.0	1869.7
11.87	1900.0	1870.4
11.88	1893.0	1871.1
11.89	1872.0	1871.8
11.9	1936.0	1872.5
11.91	1913.0	1873.2
11.92	1901.0	1873.9
11.93	1905.0	1874.6
11.94	1925.0	1875.3
11.95	1952.0	1876.0
11.96	1928.0	1876.7
11.97	1900.0	1877.4
11.98	1927.0	1878.1
11.99	1950.0	1878.8
12.0	1946.0	1879.4
12.01	1944.0	1880.1
12.02	1941.0	1880.8
12.03	1950.0	1881.5
12.04	1976.0	1882.2
12.05	1985.0	1882.9
12.06	1945.0	1883.6
12.07	1927.0	1884.3
12.08	1947.0	1885.0
12.09	1964.0	1885.7
12.1	1925.0	1886.4
12.11	1896.0	1887.1
12.12	1962.0	1887.7
12.13	1918.0	1888.4
12.14	1918.0	1889.1
12.15	1956.0	1889.8
12.16	1951.0	1890.5
12.17	1931.0	1891.2
12.18	1914.0	1891.9
12.19	1956.0	1892.6
12.2	1931.0	1893.3
12.21	1906.0	1893.9
12.22	1982.0	1894.6
12.23	1900.0	1895.3
12.24	1885.0	1896.0
12.25	1905.0	1896.7
12.26	1901.0	1897.4
12.27	1959.0	1898.0
12.28	2004.0	1898.7
12.29	1955.0	1899.4
12.3	1895.0	1900.1
12.31	1966.0	1900.8
12.32	1978.0	1901.4
12.33	1968.0	1902.1
12.34	1975.0	1902.8
12.35	1999.0	1903.5
12.36	1932.0	1904.2
12.37	1898.0	1904.8
12.38	1932.0	1905.5
12.39	1933.0	1906.2
12.4	1992.0	1906.9
12.41	1991.0	1907.5
12.42	1992.0	1908.2
12.43	1958.0	1908.9
12.44	1981.0	1909.6
12.45	2019.0	1910.2
12.46	2019.0	1910.9
12.47	2001.0	1911.6
12.48	1933.0	1912.3
12.49	1886.0	1912.9
12.5	1877.0	1913.6
12.51	1933.0	1914.3
12.52	1968.0	1914.9
12.53	1966.0	1915.6
12.54	1980.0	1916.3
12.55	1955.0	1916.9
12.56	1949.0	1917.6
12.57	1955.0	1918.3
12.58	1998.0	1918.9
12.59	2002.0	1919.6
12.6	1952.0	1920.3
12.61	1929.0	1920.9
12.62	1958.0	1921.6
12.63	1981.0	1922.2
12.64	2034.0	1922.9
12.65	1982.0	1923.6
12.66	1978.0	1924.2
12.67	1939.0	1924.9
12.68	1985.0	1925.5
12.69	1995.0	1926.2
12.7	1946.0	1926.8
12.71	1932.0	1927.5
12.72	1986.0	1928.1
12.73	1956.0	1928.8
12.74	1961.0	1929.4
12.75	1969.0	1930.1
12.76	1941.0	1930.8
12.77	1987.0	1931.4
12.78	2036.0	1932.0
12.79	2040.0	1932.7
12.8	1998.0	1933.3
12.81	1952.0	1934.0
12.82	1952.0	1934.6
12.83	1995.0	1935.3
12.84	2017.0	1935.9
12.85	2007.0	1936.6
12.86	1998.0	1937.2
12.87	2013.0	1937.8
12.88	2018.0	1938.5
12.89	2022.0	1939.1
12.9	1983.0	1939.8
12.91	1991.0	1940.4
12.92	2008.0	1941.0
12.93	2011.0	1941.7
12.94	2035.0	1942.3
12.95	1988.0	1942.9
12.96	1986.0	1943.6
12.97	1995.0	1944.2
12.98	1997.0	1944.8
12.99	2002.0	1945.5
13.0	1983.0	1946.1
13.01	1940.0	1946.7
13.02	1994.0	1947.3
13.03	2033.0	1948.0
13.04	2033.0	1948.6
13.05	1996.0	1949.2
13.06	2012.0	1949.8
13.07	2002.0	1950.5
13.08	2029.0	1951.1
13.09	1983.0	1951.7
13.1	1992.0	1952.3
13.11	1979.0	1952.9
13.12	1973.0	1953.5
13.13	1991.0	1954.2
13.14	1933.0	1954.8
13.15	1959.0	1955.4
13.16	1964.0	1956.0
13.17	1974.0	1956.6
13.18	1992.0	1957.2
13.19	1995.0	1957.8
13.2	2035.0	1958.4
13.21	2062.0	1959.0
13.22	2027.0	1959.6
13.23	2006.0	1960.2
13.24	1989.0	1960.8
13.25	1987.0	1961.4
13.26	2057.0	1962.0
13.27	2067.0	1962.6
13.28	2024.0	1963.2
13.29	2015.0	1963.8
13.3	1956.0	1964.4
13.31	1994.0	1965.0
13.32	1963.0	1965.6
13.33	1933.0	1966.2
13.34	1971.0	1966.8
13.35	1999.0	1967.4
13.36	2003.0	1968.0
13.37	2006.0	1968.6
13.38	1996.0	1969.1
13.39	2014.0	1969.7
13.4	2059.0	1970.3
13.41	2015.0	1970.9
13.42	1990.0	1971.5
13.43	2009.0	1972.0
13.44	2004.0	1972.6
13.45	1998.0	1973.2
13.46	2031.0	1973.8
13.47	2061.0	1974.3
13.48	2036.0	1974.9
13.49	2037.0	1975.5
13.5	2068.0	1976.1
13.51	2114.0	1976.6
13.52	2036.0	1977.2
13.53	2031.0	1977.8
13.54	2018.0	1978.3
13.55	2008.0	1978.9
13.56	2032.0	1979.4
13.57	2039.0	1980.0
13.58	2014.0	1980.6
13.59	2007.0	1981.1
13.6	2048.0	1981.7
13.61	2070.0	1982.2
13.62	2057.0	1982.8
13.63	2028.0	1983.3
13.64	2035.0	1983.9
13.65	2039.0	1984.4
13.66	2024.0	1985.0
13.67	2037.0	1985.5
13.68	2018.0	1986.1
13.69	2057.0	1986.6
13.7	2090.0	1987.2
13.71	2026.0	1987.7
13.72	2038.0	1988.2
13.73	1998.0	1988.8
13.74	1971.0	1989.3
13.75	2030.0	1989.9
13.76	2049.0	1990.4
13.77	2087.0	1990.9
13.78	2069.0	1991.5
13.79	2020.0	1992.0
13.8	2026.0	1992.5
13.81	2056.0	1993.0
13.82	2025.0	1993.6
13.83	2042.0	1994.1
13.84	2029.0	1994.6
13.85	2078.0	1995.1
13.86	2041.0	1995.7
13.87	2072.0	1996.2
13.88	2056.0	1996.7
13.89	2013.0	1997.2
13.9	2067.0	1997.7
13.91	2055.0	1998.2
13.92	2046.0	1998.7
13.93	2040.0	1999.3
13.94	2053.0	1999.8
13.95	2022.0	2000.3
13.96	2035.0	2000.8
13.97	2037.0	2001.3
13.98	2061.0	2001.8
13.99	2053.0	2002.3
14.0	2088.0	2002.8
14.01	2067.0	2003.3
14.02	2016.0	2003.8
14.03	2042.0	2004.3
14.04	2085.0	2004.8
14.05	2085.0	2005.3
14.06	2073.0	2005.8
14.07	2107.0	2006.2
14.08	2107.0	2006.7
14.09	2035.0	2007.2
14.1	2065.0	2007.7
14.11	2098.0	2008.2
14.12	2070.0	2008.7
14.13	2100.0	2009.1
14.14	2121.0	2009.6
14.15	2110.0	2010.1
14.16	2074.0	2010.6
14.17	2054.0	2011.0
14.18	2072.0	2011.5
14.19	2103.0	2012.0
14.2	2050.0	2012.5
14.21	2061.0	2012.9
14.22	2070.0	2013.4
14.23	2065.0	2013.8
14.24	2104.0	2014.3
14.25	2106.0	2014.8
14.26	2056.0	2015.2
14.27	2087.0	2015.7
14.28	2154.0	2016.1
14.29	2146.0	2016.6
14.3	2092.0	2017.1
14.31	2095.0	2017.5
14.32	2087.0	2018.0
14.33	2080.0	2018.4
14.34	2054.0	2018.8
14.35	2048.0	2019.3
14.36	2066.0	2019.7
14.37	2074.0	2020.2
14.38	2061.0	2020.6
14.39	2049.0	2021.1
14.4	2079.0	2021.5
14.41	2112.0	2021.9
14.42	2102.0	2022.4
14.43	2071.0	2022.8
14.44	2066.0	2023.2
14.45	2065.0	2023.6
14.46	2089.0	2024.1
14.47	2091.0	2024.5
14.48	2075.0	2024.9
14.49	2134.0	2025.3
14.5	2141.0	2025.8
14.51	2095.0	2026.2
14.52	2046.0	2026.6
14.53	2051.0	2027.0
14.54	2080.0	2027.4
14.55	2099.0	2027.8
14.56	2086.0	2028.2
14.57	2054.0	2028.6
14.58	2017.0	2029.0
14.59	2036.0	2029.5
14.6	2033.0	2029.9
14.61	2081.0	2030.3
14.62	2090.0	2030.7
14.63	2115.0	2031.0
14.64	2107.0	2031.4
14.65	2117.0	2031.8
14.66	2097.0	2032.2
14.67	2084.0	2032.6
14.68	2064.0	2033.0
14.69	2076.0	2033.4
14.7	2064.0	2033.8
14.71	2035.0	2034.2
14.72	2038.0	2034.5
14.73	2098.0	2034.9
14.74	2079.0	2035.3
14.75	2068.0	2035.7
14.76	2107.0	2036.0
14.77	2062.0	2036.4
14.78	2059.0	2036.8
14.79	2062.0	2037.2
14.8	2065.0	2037.5
14.81	2070.0	2037.9
14.82	2086.0	2038.2
14.83	2089.0	2038.6
14.84	2087.0	2039.0
14.85	2047.0	2039.3
14.86	2049.0	2039.7
14.87	2079.0	2040.0
14.88	2075.0	2040.4
14.89	2116.0	2040.7
14.9	2116.0	2041.1
14.91	2100.0	2041.4
14.92	2048.0	2041.8
14.93	2042.0	2042.1
14.94	2063.0	2042.5
14.95	2083.0	2042.8
14.96	2057.0	2043.1
14.97	2015.0	2043.5
14.98	2038.0	2043.8
14.99	2079.0	2044.1
15.0	2105.0	2044.5
15.01	2067.0	2044.8
15.02	2062.0	2045.1
15.03	2084.0	2045.4
15.04	2084.0	2045.8
15.05	2065.0	2046.1
15.06	2063.0	2046.4
15.07	2059.0	2046.7
15.08	2033.0	2047.0
15.09	1995.0	2047.3
15.1	2000.0	2047.6
15.11	2033.0	2047.9
15.12	2042.0	2048.3
15.13	2052.0	2048.6
15.14	2052.0	2048.9
15.15	2072.0	2049.2
15.16	2077.0	2049.5
15.17	2068.0	2049.8
15.18	2080.0	2050.0
15.19	2035.0	2050.3
15.2	2033.0	2050.6
15.21	2056.0	2050.9
15.22	2047.0	2051.2
15.23	2063.0	2051.5
15.24	2044.0	2051.8
15.25	2009.0	2052.1
15.26	2002.0	2052.3
15.27	1995.0	2052.6
15.28	1992.0	2052.9
15.29	2019.0	2053.2
15.3	2043.0	2053.4
15.31	2036.0	2053.7
15.32	2021.0	2054.0
15.33	2033.0	2054.2
15.34	2057.0	2054.5
15.35	2027.0	2054.7
15.36	2007.0	2055.0
15.37	2057.0	2055.3
15.38	2048.0	2055.5
15.39	2017.0	2055.8
15.4	2034.0	2056.0
15.41	2050.0	2056.3
15.42	2031.0	2056.5
15.43	1988.0	2056.7
15.44	2000.0	2057.0
15.45	2053.0	2057.2
15.46	2098.0	2057.5
15.47	2051.0	2057.7
15.48	2053.0	2057.9
15.49	2107.0	2058.2
15.5	2095.0	2058.4
15.51	2090.0	2058.6
15.52	2075.0	2058.8
15.53	2059.0	2059.1
15.54	2057.0	2059.3
15.55	2039.0	2059.5
15.56	2000.0	2059.7
15.57	2009.0	2059.9
15.58	2025.0	2060.1
15.59	2046.0	2060.3
15.6	2062.0	2060.6
15.61	2077.0	2060.8
15.62	2095.0	2061.0
15.63	2065.0	2061.2
15.64	2011.0	2061.4
15.65	2034.0	2061.6
15.66	2042.0	2061.8
15.67	2035.0	2061.9
15.68	1999.0	2062.1
15.69	2020.0	2062.3
15.7	2006.0	2062.5
15.71	2039.0	2062.7
15.72	2073.0	2062.9
15.73	2045.0	2063.1
15.74	2030.0	2063.2
15.75	2021.0	2063.4
15.76	2069.0	2063.6
15.77	2085.0	2063.7
15.78	2075.0	2063.9
15.79	2023.0	2064.1
15.8	2027.0	2064.2
15.81	2015.0	2064.4
15.82	2021.0	2064.6
15.83	2037.0	2064.7
15.84	2011.0	2064.9
15.85	2028.0	2065.0
15.86	2031.0	2065.2
15.87	2002.0	2065.3
15.88	1992.0	2065.5
15.89	1980.0	2065.6
15.9	1969.0	2065.8
15.91	2025.0	2065.9
15.92	2031.0	2066.0
15.93	2019.0	2066.2
15.94	2038.0	2066.3
15.95	2025.0	2066.4
15.96	2009.0	2066.6
15.97	2040.0	2066.7
15.98	2028.0	2066.8
15.99	1978.0	2066.9
16.0	1988.0	2067.0
16.01	2023.0	2067.2
16.02	2045.0	2067.3
16.03	2014.0	2067.4
16.04	2051.0	2067.5
16.05	2052.0	2067.6
16.06	2020.0	2067.7
16.07	1997.0	2067.8
16.08	1977.0	2067.9
16.09	1965.0	2068.0
16.1	1990.0	2068.1
16.11	1988.0	2068.2
16.12	1985.0	2068.3
16.13	1996.0	2068.4
16.14	1991.0	2068.5
16.15	1979.0	2068.5
16.16	1973.0	2068.6
16.17	2009.0	2068.7
16.18	2003.0	2068.8
16.19	2013.0	2068.8
16.2	2039.0	2068.9
16.21	2064.0	2069.0
16.22	2064.0	2069.1
16.23	2024.0	2069.1
16.24	1999.0	2069.2
16.25	2037.0	2069.2
16.26	2045.0	2069.3
16.27	2024.0	2069.3
16.28	2024.0	2069.4
16.29	2019.0	2069.4
16.3	2028.0	2069.5
16.31	2022.0	2069.5
16.32	1994.0	2069.6
16.33	1982.0	2069.6
16.34	2018.0	2069.7
16.35	2038.0	2069.7
16.36	2020.0	2069.7
16.37	1997.0	2069.8
16.38	1993.0	2069.8
16.39	1996.0	2069.8
16.4	2013.0	2069.8
16.41	2054.0	2069.9
16.42	2027.0	2069.9
16.43	1985.0	2069.9
16.44	2022.0	2069.9
16.45	2069.0	2069.9
16.46	2043.0	2069.9
16.47	2045.0	2069.9
16.48	2046.0	2069.9
16.49	2056.0	2069.9
16.5	2031.0	2069.9
16.51	1983.0	2069.9
16.52	1953.0	2069.9
16.53	1990.0	2069.9
16.54	2020.0	2069.9
16.55	2013.0	2069.9
16.56	2032.0	2069.9
16.57	2045.0	2069.8
16.58	2024.0	2069.8
16.59	2005.0	2069.8
16.6	1988.0	2069.8
16.61	1986.0	2069.7
16.62	2025.0	2069.7
16.63	2032.0	2069.7
16.64	2019.0	2069.6
16.65	2009.0	2069.6
16.66	2033.0	2069.5
16.67	2065.0	2069.5
16.68	2051.0	2069.4
16.69	2069.0	2069.4
16.7	2070.0	2069.3
16.71	2047.0	2069.3
16.72	2028.0	2069.2
16.73	2000.0	2069.2
16.74	2005.0	2069.1
16.75	2009.0	2069.0
16.76	2012.0	2069.0
16.77	2034.0	2068.9
16.78	2028.0	2068.8
16.79	2020.0	2068.7
16.8	2017.0	2068.7
16.81	2003.0	2068.6
16.82	1995.0	2068.5
16.83	2014.0	2068.4
16.84	2041.0	2068.3
16.85	2024.0	2068.2
16.86	2043.0	2068.1
16.87	2046.0	2068.0
16.88	2051.0	2067.9
16.89	2069.0	2067.8
16.9	2066.0	2067.7
16.91	2038.0	2067.6
16.92	2018.0	2067.5
16.93	2015.0	2067.4
16.94	2034.0	2067.3
16.95	2049.0	2067.1
16.96	2028.0	2067.0
16.97	2007.0	2066.9
16.98	2002.0	2066.8
16.99	2000.0	2066.6
17.0	2011.0	2066.5
17.01	2013.0	2066.4
17.02	2002.0	2066.2
17.03	1999.0	2066.1
17.04	2033.0	2066.0
17.05	2041.0	2065.8
17.06	2027.0	2065.7
17.07	2051.0	2065.5
17.08	2050.0	2065.3
17.09	1991.0	2065.2
17.1	1952.0	2065.0
17.11	1942.0	2064.9
17.12	1975.0	2064.7
17.13	2025.0	2064.5
17.14	2017.0	2064.4
17.15	2029.0	2064.2
17.16	2006.0	2064.0
17.17	1932.0	2063.8
17.18	1964.0	2063.6
17.19	2003.0	2063.5
17.2	2001.0	2063.3
17.21	2023.0	2063.1
17.22	2013.0	2062.9
17.23	1967.0	2062.7
17.24	1976.0	2062.5
17.25	2036.0	2062.3
17.26	2060.0	2062.1
17.27	2016.0	2061.9
17.28	1982.0	2061.7
17.29	2005.0	2061.5
17.3	2020.0	2061.2
17.31	2040.0	2061.0
17.32	2042.0	2060.8
17.33	2017.0	2060.6
17.34	2007.0	2060.3
17.35	2036.0	2060.1
17.36	2052.0	2059.9
17.37	2037.0	2059.6
17.38	2009.0	2059.4
17.39	1992.0	2059.2
17.4	2005.0	2058.9
17.41	2002.0	2058.7
17.42	2008.0	2058.4
17.43	2035.0	2058.2
17.44	2033.0	2057.9
17.45	2036.0	2057.7
17.46	2046.0	2057.4
17.47	2016.0	2057.1
17.48	2020.0	2056.9
17.49	2017.0	2056.6
17.5	1993.0	2056.3
17.51	2012.0	2056.0
17.52	2020.0	2055.8
17.53	2011.0	2055.5
17.54	2024.0	2055.2
17.55	2020.0	2054.9
17.56	2011.0	2054.6
17.57	2020.0	2054.3
17.58	2029.0	2054.0
17.59	2019.0	2053.7
17.6	2001.0	2053.4
17.61	2023.0	2053.1
17.62	2044.0	2052.8
17.63	2036.0	2052.5
17.64	2056.0	2052.2
17.65	2076.0	2051.9
17.66	2064.0	2051.5
17.67	2060.0	2051.2
17.68	2060.0	2050.9
17.69	2088.0	2050.6
17.7	2081.0	2050.2
17.71	2036.0	2049.9
17.72	2018.0	2049.5
17.73	2007.0	2049.2
17.74	2040.0	2048.9
17.75	2022.0	2048.5
17.76	1994.0	2048.2
17.77	2015.0	2047.8
17.78	2020.0	2047.4
17.79	2053.0	2047.1
17.8	2069.0	2046.7
17.81	2077.0	2046.4
17.82	2086.0	2046.0
17.83	2075.0	2045.6
17.84	2060.0	2045.2
17.85	2063.0	2044.9
17.86	2108.0	2044.5
17.87	2130.0	2044.1
17.88	2128.0	2043.7
17.89	2142.0	2043.3
17.9	2132.0	2042.9
17.91	2136.0	2042.5
17.92	2139.0	2042.1
17.93	2096.0	2041.7
