BroadPeak_LiMnO2_SPE
Wavelength = 1.54059 Å (Cu)
Angle	I(o)	I(b)
10.0	1995.0	1946.9
10.01	1998.0	1948.3
10.02	1929.0	1949.7
10.03	1907.0	1951.1
10.04	1950.0	1952.6
10.05	2030.0	1954.0
10.06	2028.0	1955.4
10.07	2026.0	1956.8
10.08	2040.0	1958.2
10.09	2021.0	1959.6
10.1	2043.0	1961.1
10.11	2010.0	1962.5
10.12	1992.0	1963.9
10.13	2032.0	1965.3
10.14	2028.0	1966.7
10.15	1977.0	1968.1
10.16	1957.0	1969.6
10.17	1992.0	1971.0
10.18	2052.0	1972.4
10.19	2048.0	1973.8
10.2	2046.0	1975.2
10.21	2046.0	1976.6
10.22	2007.0	1978.1
10.23	1972.0	1979.5
10.24	1999.0	1980.9
10.25	1988.0	1982.3
10.26	1987.0	1983.7
10.27	2060.0	1985.1
10.28	2008.0	1986.5
10.29	2010.0	1987.9
10.3	2019.0	1989.3
10.31	2009.0	1990.8
10.32	2027.0	1992.2
10.33	2003.0	1993.6
10.34	2012.0	1995.0
10.35	2024.0	1996.4
10.36	1928.0	1997.8
10.37	1994.0	1999.2
10.38	2046.0	2000.6
10.39	2020.0	2002.0
10.4	2010.0	2003.4
10.41	2050.0	2004.8
10.42	2052.0	2006.2
10.43	2063.0	2007.6
10.44	2025.0	2009.0
10.45	2032.0	2010.4
10.46	2031.0	2011.8
10.47	2062.0	2013.2
10.48	2017.0	2014.6
10.49	2049.0	2016.0
10.5	2027.0	2017.4
10.51	1999.0	2018.8
10.52	1984.0	2020.2
10.53	2017.0	2021.6
10.54	2034.0	2023.0
10.55	2029.0	2024.3
10.56	2049.0	2025.7
10.57	2050.0	2027.1
10.58	2070.0	2028.5
10.59	2085.0	2029.9
10.6	2042.0	2031.3
10.61	2027.0	2032.6
10.62	2074.0	2034.0
10.63	2112.0	2035.4
10.64	2086.0	2036.8
10.65	2059.0	2038.2
10.66	2035.0	2039.5
10.67	2088.0	2040.9
10.68	2114.0	2042.3
10.69	2014.0	2043.7
10.7	1987.0	2045.0
10.71	2030.0	2046.4
10.72	2050.0	2047.8
10.73	2056.0	2049.1
10.74	2078.0	2050.5
10.75	2086.0	2051.9
10.76	2088.0	2053.2
10.77	2030.0	2054.6
10.78	2012.0	2055.9
10.79	2093.0	2057.3
10.8	2128.0	2058.7
10.81	2043.0	2060.0
10.82	2056.0	2061.4
10.83	2110.0	2062.7
10.84	2107.0	2064.1
10.85	2102.0	2065.4
10.86	2096.0	2066.8
10.87	2116.0	2068.1
10.88	2100.0	2069.4
10.89	2127.0	2070.8
10.9	2115.0	2072.1
10.91	2097.0	2073.5
10.92	2079.0	2074.8
10.93	2088.0	2076.1
10.94	2098.0	2077.5
10.95	2092.0	2078.8
10.96	2151.0	2080.1
