BroadPeak_MnF2_SPEX3
Wavelength = 1.54059 Å (Cu)
Angle	I(o)	I(b)
10.0	1781.0	1794.2
10.01	1779.0	1794.6
10.02	1825.0	1795.0
10.03	1795.0	1795.4
10.04	1828.0	1795.8
10.05	1856.0	1796.2
10.06	1806.0	1796.6
10.07	1834.0	1797.0
10.08	1798.0	1797.4
10.09	1777.0	1797.8
10.1	1748.0	1798.2
10.11	1725.0	1798.6
10.12	1802.0	1799.0
10.13	1851.0	1799.4
10.14	1807.0	1799.8
10.15	1812.0	1800.2
10.16	1741.0	1800.6
10.17	1788.0	1801.0
10.18	1818.0	1801.4
10.19	1829.0	1801.8
10.2	1839.0	1802.2
10.21	1808.0	1802.6
10.22	1795.0	1803.0
10.23	1814.0	1803.4
10.24	1837.0	1803.9
10.25	1840.0	1804.3
10.26	1853.0	1804.7
10.27	1863.0	1805.1
10.28	1816.0	1805.5
10.29	1847.0	1805.9
10.3	1847.0	1806.3
10.31	1799.0	1806.8
10.32	1796.0	1807.2
10.33	1838.0	1807.6
10.34	1912.0	1808.0
10.35	1799.0	1808.5
10.36	1776.0	1808.9
10.37	1816.0	1809.3
10.38	1770.0	1809.8
10.39	1823.0	1810.2
10.4	1882.0	1810.6
10.41	1858.0	1811.1
10.42	1819.0	1811.5
10.43	1842.0	1811.9
10.44	1838.0	1812.4
10.45	1835.0	1812.8
10.46	1837.0	1813.3
10.47	1846.0	1813.7
10.48	1832.0	1814.2
10.49	1821.0	1814.6
10.5	1814.0	1815.1
10.51	1849.0	1815.6
10.52	1825.0	1816.0
10.53	1846.0	1816.5
10.54	1854.0	1817.0
10.55	1815.0	1817.4
10.56	1829.0	1817.9
10.57	1897.0	1818.4
10.58	1867.0	1818.9
10.59	1834.0	1819.4
10.6	1854.0	1819.8
10.61	1856.0	1820.3
10.62	1900.0	1820.8
10.63	1926.0	1821.3
10.64	1912.0	1821.8
10.65	1898.0	1822.3
10.66	1880.0	1822.8
10.67	1890.0	1823.3
10.68	1847.0	1823.9
10.69	1878.0	1824.4
10.7	1868.0	1824.9
10.71	1872.0	1825.4
10.72	1882.0	1825.9
10.73	1922.0	1826.5
10.74	1896.0	1827.0
10.75	1803.0	1827.6
10.76	1792.0	1828.1
10.77	1907.0	1828.6
10.78	1861.0	1829.2
10.79	1900.0	1829.7
10.8	1900.0	1830.3
10.81	1913.0	1830.9
10.82	1882.0	1831.4
10.83	1889.0	1832.0
10.84	1892.0	1832.6
10.85	1864.0	1833.2
