Multi_50%TiO2_50%MnO
Wavelength = 1.54059 Å (Cu)
Angle	I(o)	I(b)
10.0	4787	5516
10.01	4823	5516
10.02	4863	5515
10.03	4832	5515
10.04	4825	5515
10.05	4884	5515
10.06	4846	5514
10.07	4786	5514
10.08	4821	5514
10.09	4860	5514
10.1	4892	5514
10.11	4891	5513
10.12	4959	5513
10.13	4988	5513
10.14	4950	5513
10.15	4882	5512
10.16	4936	5512
10.17	4906	5512
10.18	4899	5512
10.19	4952	5512
10.2	4869	5511
10.21	4853	5511
10.22	4944	5511
10.23	5023	5511
10.24	5014	5510
10.25	4974	5510
10.26	4994	5510
10.27	5024	5510
10.28	5049	5510
10.29	4984	5510
10.3	5012	5509
10.31	5021	5509
10.32	5043	5509
10.33	4990	5509
10.34	5103	5509
10.35	5159	5509
10.36	5143	5508
10.37	5064	5508
10.38	4959	5508
10.39	5043	5508
10.4	5070	5508
10.41	5104	5508
10.42	5085	5508
10.43	5041	5507
10.44	5078	5507
10.45	5093	5507
10.46	5144	5507
10.47	5158	5507
10.48	5120	5507
10.49	5203	5507
10.5	5150	5507
10.51	5121	5507
10.52	5170	5507
10.53	5257	5507
10.54	5221	5507
10.55	5258	5507
10.56	5194	5507
10.57	5220	5507
10.58	5182	5507
10.59	5288	5507
10.6	5322	5507
10.61	5231	5507
10.62	5205	5507
10.63	5231	5507
10.64	5231	5507
10.65	5314	5507
10.66	5286	5507
10.67	5241	5507
10.68	5241	5507
10.69	5357	5507
10.7	5287	5507
10.71	5381	5507
10.72	5332	5508
10.73	5314	5508
10.74	5298	5508
10.75	5263	5508
10.76	5290	5508
10.77	5432	5508
10.78	5401	5509
10.79	5416	5509
10.8	5348	5509
10.81	5378	5509
10.82	5469	5509
10.83	5501	5510
10.84	5441	5510
10.85	5430	5510
10.86	5458	5511
10.87	5379	5511
10.88	5363	5511
10.89	5408	5511
10.9	5423	5512
10.91	5479	5512
10.92	5498	5513
10.93	5523	5513
10.94	5530	5513
10.95	5536	5514
10.96	5426	5514
10.97	5365	5515
10.98	5596	5515
10.99	5526	5515
11.0	5473	5516
11.01	5553	5516
11.02	5492	5517
