Single_MnO2_long_sca
Wavelength = 1.54059 Å (Cu)
Angle	I(o)	I(b)
10.0	5207	6006
10.01	5177	6006
10.02	5278	6005
10.03	5252	6005
10.04	5220	6005
10.05	5305	6005
10.06	5318	6004
10.07	5184	6004
10.08	5212	6004
10.09	5281	6004
10.1	5373	6003
10.11	5350	6003
10.12	5286	6003
10.13	5348	6003
10.14	5401	6002
10.15	5345	6002
10.16	5410	6002
10.17	5341	6002
10.18	5315	6001
10.19	5307	6001
10.2	5297	6001
10.21	5340	6001
10.22	5352	6001
10.23	5374	6000
10.24	5381	6000
10.25	5289	6000
10.26	5379	6000
10.27	5355	6000
10.28	5364	5999
10.29	5342	5999
10.3	5218	5999
10.31	5264	5999
10.32	5320	5999
10.33	5379	5998
10.34	5341	5998
10.35	5348	5998
10.36	5431	5998
10.37	5420	5998
10.38	5510	5998
10.39	5530	5997
10.4	5543	5997
10.41	5558	5997
10.42	5453	5997
10.43	5468	5997
10.44	5487	5997
10.45	5502	5997
10.46	5496	5997
10.47	5568	5997
10.48	5550	5996
10.49	5477	5996
10.5	5517	5996
10.51	5580	5996
10.52	5509	5996
10.53	5549	5996
10.54	5632	5996
10.55	5581	5996
10.56	5530	5996
10.57	5644	5996
10.58	5572	5996
10.59	5645	5996
10.6	5755	5996
10.61	5659	5996
10.62	5571	5996
10.63	5590	5996
10.64	5668	5996
10.65	5725	5996
10.66	5690	5996
10.67	5698	5996
10.68	5624	5996
10.69	5668	5996
10.7	5767	5996
10.71	5709	5997
10.72	5665	5997
10.73	5670	5997
10.74	5716	5997
10.75	5730	5997
10.76	5746	5997
10.77	5807	5997
10.78	5781	5998
10.79	5764	5998
10.8	5846	5998
10.81	5855	5998
10.82	5832	5999
10.83	5748	5999
10.84	5779	5999
10.85	5873	5999
10.86	5829	6000
10.87	5755	6000
10.88	5877	6000
10.89	5947	6000
10.9	5816	6001
10.91	5792	6001
10.92	5934	6002
10.93	5948	6002
10.94	5903	6002
10.95	5849	6003
10.96	5906	6003
10.97	5917	6004
10.98	5899	6004
10.99	5989	6004
11.0	6015	6005
11.01	6017	6005
11.02	5948	6006
11.03	6043	6006
11.04	6069	6007
11.05	5977	6007
11.06	5963	6008
11.07	6051	6009
11.08	6048	6009
11.09	5950	6010
11.1	5994	6010
11.11	6013	6011
11.12	5956	6012
11.13	6125	6012
11.14	6126	6013
11.15	6145	6014
11.16	6033	6014
11.17	6140	6015
11.18	6144	6016
11.19	6113	6017
11.2	6088	6017
11.21	6134	6018
11.22	6173	6019
11.23	6133	6020
11.24	6054	6021
11.25	6084	6021
11.26	6149	6022
11.27	6165	6023
11.28	6155	6024
11.29	6181	6025
11.3	6274	6026
11.31	6345	6027
11.32	6214	6028
11.33	6227	6029
11.34	6276	6030
11.35	6189	6031
11.36	6215	6032
11.37	6244	6033
11.38	6259	6034
11.39	6195	6035
11.4	6243	6036
11.41	6222	6037
11.42	6250	6038
11.43	6280	6039
11.44	6299	6040
11.45	6343	6041
11.46	6331	6042
11.47	6289	6043
11.48	6317	6045
11.49	6267	6046
11.5	6372	6047
11.51	6411	6048
11.52	6284	6049
11.53	6276	6051
11.54	6342	6052
11.55	6323	6053
11.56	6399	6054
11.57	6392	6056
11.58	6345	6057
11.59	6522	6058
11.6	6538	6059
11.61	6467	6061
11.62	6433	6062
11.63	6523	6063
11.64	6525	6065
11.65	6499	6066
11.66	6409	6068
11.67	6350	6069
11.68	6465	6070
11.69	6465	6072
11.7	6502	6073
11.71	6601	6075
11.72	6562	6076
11.73	6487	6078
11.74	6476	6079
11.75	6549	6081
11.76	6510	6082
11.77	6639	6084
11.78	6585	6085
11.79	6538	6087
11.8	6588	6089
11.81	6561	6090
11.82	6548	6092
11.83	6515	6093
11.84	6651	6095
11.85	6579	6097
11.86	6588	6098
11.87	6585	6100
11.88	6594	6102
11.89	6663	6103
11.9	6690	6105
11.91	6663	6107
11.92	6641	6109
11.93	6563	6110
11.94	6568	6112
11.95	6744	6114
11.96	6781	6116
11.97	6723	6117
11.98	6798	6119
11.99	6734	6121
12.0	6723	6123
12.01	6694	6125
12.02	6748	6127
12.03	6720	6129
12.04	6736	6130
12.05	6711	6132
12.06	6683	6134
12.07	6660	6136
12.08	6835	6138
12.09	6848	6140
12.1	6789	6142
12.11	6837	6144
12.12	6759	6146
12.13	6793	6148
12.14	6790	6150
12.15	6801	6152
12.16	6841	6154
12.17	6844	6156
12.18	6843	6158
12.19	6871	6160
12.2	6856	6162
12.21	6900	6164
12.22	6938	6166
12.23	6937	6168
12.24	7030	6171
12.25	7054	6173
12.26	7044	6175
12.27	7091	6177
12.28	6961	6179
12.29	6948	6181
12.3	6949	6184
12.31	7019	6186
12.32	7170	6188
12.33	7197	6190
12.34	7090	6192
12.35	7011	6195
12.36	6945	6197
12.37	7090	6199
12.38	7106	6202
12.39	7100	6204
12.4	7125	6206
12.41	7166	6208
12.42	7098	6211
12.43	7125	6213
12.44	7263	6215
12.45	7225	6218
12.46	7296	6220
12.47	7375	6223
12.48	7237	6225
12.49	7263	6227
12.5	7299	6230
12.51	7299	6232
12.52	7296	6235
12.53	7367	6237
12.54	7482	6240
12.55	7420	6242
12.56	7444	6245
12.57	7522	6247
12.58	7398	6250
12.59	7386	6252
12.6	7497	6255
12.61	7442	6257
12.62	7356	6260
12.63	7380	6262
12.64	7432	6265
12.65	7624	6267
12.66	7564	6270
12.67	7598	6273
12.68	7556	6275
12.69	7701	6278
12.7	7647	6280
12.71	7679	6283
12.72	7638	6286
12.73	7681	6288
12.74	7624	6291
12.75	7679	6294
12.76	7767	6296
12.77	7745	6299
12.78	7758	6302
12.79	7824	6305
12.8	7871	6307
12.81	7929	6310
12.82	7898	6313
12.83	7922	6316
12.84	8049	6318
12.85	8033	6321
12.86	8014	6324
12.87	8103	6327
12.88	8116	6330
12.89	7965	6332
12.9	8092	6335
12.91	8166	6338
12.92	8120	6341
12.93	8206	6344
12.94	8292	6347
12.95	8246	6350
12.96	8180	6353
12.97	8305	6355
12.98	8342	6358
12.99	8328	6361
13.0	8309	6364
13.01	8419	6367
13.02	8427	6370
13.03	8379	6373
13.04	8332	6376
13.05	8460	6379
13.06	8570	6382
13.07	8682	6385
13.08	8661	6388
13.09	8694	6391
13.1	8651	6394
13.11	8724	6397
13.12	8823	6400
13.13	8898	6403
13.14	9005	6406
13.15	8866	6409
13.16	8839	6412
13.17	8855	6416
13.18	8875	6419
13.19	8932	6422
13.2	9096	6425
13.21	9085	6428
13.22	9031	6431
13.23	9002	6434
13.24	9146	6438
13.25	9315	6441
13.26	9354	6444
