Multi_33%Mn2O3_33%Ti
Wavelength = 1.54059 Å (Cu)
Angle	I(o)	I(b)
10.0	1869.0	1834.7
10.01	1849.0	1835.3
10.02	1863.0	1835.9
10.03	1803.0	1836.5
10.04	1825.0	1837.2
10.05	1833.0	1837.8
10.06	1785.0	1838.4
10.07	1798.0	1839.0
10.08	1820.0	1839.7
10.09	1824.0	1840.3
10.1	1791.0	1840.9
10.11	1799.0	1841.6
10.12	1799.0	1842.2
10.13	1847.0	1842.8
10.14	1809.0	1843.4
10.15	1874.0	1844.1
10.16	1847.0	1844.7
10.17	1843.0	1845.3
10.18	1765.0	1846.0
10.19	1777.0	1846.6
10.2	1818.0	1847.2
10.21	1845.0	1847.9
10.22	1820.0	1848.5
10.23	1814.0	1849.1
10.24	1887.0	1849.7
10.25	1897.0	1850.4
10.26	1797.0	1851.0
10.27	1795.0	1851.6
10.28	1818.0	1852.3
10.29	1867.0	1852.9
10.3	1860.0	1853.6
10.31	1865.0	1854.2
10.32	1848.0	1854.8
10.33	1854.0	1855.5
10.34	1853.0	1856.1
10.35	1811.0	1856.7
10.36	1768.0	1857.4
10.37	1796.0	1858.0
10.38	1818.0	1858.7
10.39	1835.0	1859.3
10.4	1852.0	1859.9
10.41	1861.0	1860.6
10.42	1870.0	1861.2
10.43	1884.0	1861.9
10.44	1833.0	1862.5
10.45	1828.0	1863.2
10.46	1816.0	1863.8
10.47	1855.0	1864.4
10.48	1896.0	1865.1
10.49	1903.0	1865.7
10.5	1842.0	1866.4
10.51	1886.0	1867.0
10.52	1859.0	1867.7
10.53	1848.0	1868.4
10.54	1924.0	1869.0
10.55	1889.0	1869.7
10.56	1943.0	1870.3
10.57	1923.0	1871.0
10.58	1872.0	1871.6
10.59	1892.0	1872.3
10.6	1903.0	1872.9
10.61	1850.0	1873.6
10.62	1862.0	1874.3
10.63	1825.0	1874.9
10.64	1817.0	1875.6
10.65	1837.0	1876.3
10.66	1814.0	1876.9
10.67	1842.0	1877.6
10.68	1900.0	1878.3
10.69	1893.0	1878.9
10.7	1884.0	1879.6
10.71	1889.0	1880.3
10.72	1839.0	1881.0
10.73	1874.0	1881.6
10.74	1935.0	1882.3
10.75	1893.0	1883.0
10.76	1849.0	1883.7
10.77	1866.0	1884.4
10.78	1897.0	1885.0
10.79	1930.0	1885.7
10.8	1903.0	1886.4
10.81	1887.0	1887.1
10.82	1827.0	1887.8
10.83	1839.0	1888.5
10.84	1933.0	1889.2
10.85	1921.0	1889.9
10.86	1890.0	1890.6
10.87	1894.0	1891.2
10.88	1871.0	1891.9
10.89	1878.0	1892.6
10.9	1885.0	1893.3
10.91	1902.0	1894.1
10.92	1920.0	1894.8
10.93	1884.0	1895.5
10.94	1911.0	1896.2
10.95	1882.0	1896.9
10.96	1891.0	1897.6
10.97	1953.0	1898.3
10.98	1890.0	1899.0
10.99	1859.0	1899.7
11.0	1943.0	1900.5
11.01	1935.0	1901.2
11.02	1943.0	1901.9
11.03	1959.0	1902.6
11.04	1957.0	1903.4
11.05	1954.0	1904.1
11.06	1965.0	1904.8
11.07	1907.0	1905.5
11.08	1909.0	1906.3
11.09	1935.0	1907.0
11.1	1930.0	1907.8
11.11	1931.0	1908.5
11.12	1888.0	1909.2
11.13	1928.0	1910.0
11.14	1999.0	1910.7
11.15	1913.0	1911.5
11.16	1919.0	1912.2
11.17	1954.0	1913.0
11.18	1919.0	1913.7
11.19	1895.0	1914.5
11.2	1882.0	1915.3
11.21	1949.0	1916.0
11.22	1967.0	1916.8
11.23	1977.0	1917.6
11.24	1951.0	1918.3
11.25	1922.0	1919.1
11.26	1921.0	1919.9
11.27	1949.0	1920.6
11.28	1967.0	1921.4
11.29	1971.0	1922.2
11.3	1960.0	1923.0
11.31	1926.0	1923.8
11.32	1951.0	1924.5
11.33	1950.0	1925.3
11.34	1934.0	1926.1
11.35	1929.0	1926.9
11.36	1986.0	1927.7
11.37	1985.0	1928.5
11.38	1988.0	1929.3
11.39	1957.0	1930.1
11.4	1959.0	1930.9
11.41	1947.0	1931.7
11.42	1950.0	1932.5
11.43	1908.0	1933.3
11.44	1933.0	1934.1
11.45	1935.0	1934.9
11.46	1977.0	1935.7
11.47	1971.0	1936.5
11.48	2031.0	1937.3
11.49	2030.0	1938.1
11.5	1950.0	1939.0
11.51	1898.0	1939.8
11.52	1919.0	1940.6
11.53	1916.0	1941.4
11.54	1944.0	1942.2
11.55	1955.0	1943.1
11.56	1910.0	1943.9
11.57	1901.0	1944.7
11.58	1988.0	1945.5
11.59	1993.0	1946.3
11.6	1982.0	1947.2
11.61	1962.0	1948.0
11.62	1960.0	1948.8
11.63	1938.0	1949.7
11.64	1969.0	1950.5
11.65	1940.0	1951.3
11.66	1951.0	1952.2
11.67	1981.0	1953.0
11.68	1969.0	1953.8
11.69	1947.0	1954.7
11.7	1971.0	1955.5
11.71	2029.0	1956.3
11.72	2037.0	1957.2
11.73	1934.0	1958.0
11.74	1921.0	1958.8
11.75	1924.0	1959.7
11.76	1955.0	1960.5
11.77	2012.0	1961.4
11.78	2002.0	1962.2
11.79	1955.0	1963.0
11.8	2025.0	1963.9
11.81	2056.0	1964.7
11.82	2017.0	1965.6
11.83	2025.0	1966.4
11.84	1998.0	1967.3
11.85	1942.0	1968.1
11.86	1989.0	1968.9
11.87	2007.0	1969.8
11.88	2016.0	1970.6
11.89	2005.0	1971.5
11.9	1990.0	1972.3
11.91	1989.0	1973.2
11.92	1973.0	1974.0
11.93	1963.0	1974.9
11.94	1953.0	1975.7
11.95	1971.0	1976.6
11.96	1971.0	1977.4
11.97	2005.0	1978.3
11.98	1986.0	1979.1
11.99	1992.0	1979.9
12.0	2016.0	1980.8
12.01	2014.0	1981.6
12.02	2017.0	1982.5
12.03	2008.0	1983.3
12.04	2000.0	1984.2
12.05	2017.0	1985.0
12.06	2070.0	1985.9
12.07	2027.0	1986.7
12.08	2057.0	1987.6
12.09	2080.0	1988.4
12.1	2024.0	1989.2
12.11	2022.0	1990.1
12.12	2013.0	1990.9
12.13	2040.0	1991.8
12.14	1992.0	1992.6
12.15	2020.0	1993.5
12.16	2049.0	1994.3
12.17	2005.0	1995.1
12.18	1990.0	1996.0
12.19	1929.0	1996.8
12.2	1961.0	1997.7
12.21	2031.0	1998.5
12.22	1997.0	1999.3
12.23	2014.0	2000.2
12.24	1997.0	2001.0
12.25	2026.0	2001.8
12.26	2052.0	2002.7
12.27	2056.0	2003.5
12.28	1992.0	2004.3
12.29	2025.0	2005.2
12.3	2128.0	2006.0
12.31	2097.0	2006.8
12.32	2046.0	2007.7
12.33	2040.0	2008.5
12.34	2091.0	2009.3
12.35	1989.0	2010.1
12.36	1972.0	2011.0
12.37	2016.0	2011.8
12.38	2004.0	2012.6
12.39	2013.0	2013.4
12.4	2087.0	2014.2
12.41	2024.0	2015.1
12.42	2045.0	2015.9
12.43	2030.0	2016.7
12.44	2060.0	2017.5
12.45	2020.0	2018.3
12.46	2030.0	2019.1
12.47	2025.0	2019.9
12.48	1999.0	2020.7
12.49	2061.0	2021.5
12.5	2103.0	2022.4
12.51	2077.0	2023.2
12.52	2090.0	2024.0
12.53	2042.0	2024.8
12.54	2039.0	2025.6
12.55	2034.0	2026.4
12.56	2038.0	2027.2
12.57	2006.0	2027.9
