Multi_50%LiMn2O4_50%
Wavelength = 1.54059 Å (Cu)
Angle	I(o)	I(b)
10.0	1898	1891
10.01	1887	1892
10.02	1903	1893
10.03	1903	1894
10.04	1905	1895
10.05	1898	1895
10.06	1834	1896
10.07	1863	1897
10.08	1874	1898
10.09	1918	1899
10.1	1935	1899
10.11	1903	1900
10.12	1890	1901
10.13	1907	1902
10.14	1883	1903
10.15	1912	1904
10.16	1886	1904
10.17	1922	1905
10.18	1876	1906
10.19	1901	1907
10.2	1900	1908
10.21	1897	1908
10.22	1891	1909
10.23	1870	1910
10.24	1887	1911
10.25	1961	1912
10.26	1958	1913
10.27	1916	1913
10.28	1943	1914
10.29	1903	1915
10.3	1880	1916
10.31	1846	1917
10.32	1909	1917
10.33	1958	1918
10.34	1908	1919
10.35	1877	1920
10.36	1897	1921
10.37	1914	1922
10.38	1939	1922
10.39	1923	1923
10.4	1941	1924
10.41	1984	1925
10.42	1922	1926
10.43	1895	1927
10.44	1942	1927
10.45	1910	1928
10.46	1862	1929
10.47	1872	1930
10.48	1936	1931
10.49	1903	1932
10.5	1893	1932
10.51	1864	1933
10.52	1903	1934
10.53	1936	1935
10.54	1959	1936
10.55	1939	1937
10.56	1895	1937
10.57	1916	1938
10.58	1880	1939
10.59	1872	1940
10.6	1865	1941
10.61	1887	1942
10.62	1919	1942
10.63	1969	1943
10.64	2021	1944
10.65	1972	1945
10.66	1910	1946
10.67	1947	1947
10.68	1929	1947
10.69	1964	1948
10.7	1988	1949
10.71	1979	1950
10.72	1977	1951
10.73	2008	1952
10.74	1992	1953
10.75	1985	1953
10.76	1954	1954
10.77	1950	1955
10.78	1970	1956
10.79	1940	1957
10.8	1926	1958
10.81	1918	1958
10.82	1929	1959
10.83	1977	1960
10.84	1960	1961
10.85	1924	1962
10.86	1950	1963
10.87	1966	1964
10.88	1957	1964
10.89	1943	1965
10.9	1935	1966
10.91	1957	1967
10.92	2014	1968
10.93	1957	1969
10.94	1933	1970
10.95	1999	1971
10.96	1961	1971
10.97	1998	1972
10.98	2040	1973
10.99	2035	1974
11.0	2037	1975
11.01	1983	1976
11.02	1925	1977
11.03	1963	1978
11.04	2015	1978
11.05	1965	1979
11.06	1979	1980
11.07	2014	1981
11.08	1992	1982
11.09	2004	1983
11.1	2006	1984
11.11	2042	1985
11.12	2027	1985
11.13	2021	1986
11.14	1994	1987
11.15	2036	1988
11.16	2007	1989
11.17	1991	1990
11.18	1945	1991
11.19	1942	1992
11.2	2006	1993
11.21	2009	1994
11.22	1974	1994
11.23	1991	1995
11.24	2049	1996
11.25	2009	1997
11.26	1997	1998
11.27	1958	1999
11.28	1986	2000
11.29	2007	2001
11.3	1979	2002
11.31	1966	2002
11.32	1988	2003
11.33	1990	2004
11.34	2000	2005
11.35	2008	2006
11.36	1990	2007
11.37	2051	2008
11.38	2016	2009
11.39	2044	2010
11.4	2057	2011
11.41	2048	2012
11.42	2009	2012
11.43	1973	2013
11.44	2000	2014
11.45	1978	2015
11.46	2032	2016
11.47	2039	2017
11.48	2027	2018
11.49	2034	2019
11.5	2035	2020
11.51	1986	2021
11.52	1979	2022
11.53	2007	2022
11.54	2060	2023
11.55	2055	2024
11.56	2066	2025
11.57	2046	2026
11.58	2059	2027
11.59	2026	2028
11.6	1976	2029
11.61	2069	2030
11.62	2039	2031
11.63	2072	2031
11.64	2084	2032
11.65	2082	2033
11.66	2086	2034
11.67	2076	2035
11.68	2086	2036
11.69	2028	2037
11.7	1958	2038
11.71	2027	2039
11.72	2104	2040
11.73	2137	2041
11.74	2079	2041
11.75	2036	2042
11.76	2073	2043
11.77	2104	2044
11.78	2014	2045
11.79	2064	2046
11.8	2081	2047
11.81	2054	2048
11.82	2076	2049
11.83	2063	2050
11.84	2086	2050
11.85	2082	2051
11.86	2092	2052
11.87	2087	2053
11.88	2077	2054
11.89	2068	2055
11.9	2056	2056
11.91	2033	2057
11.92	2032	2058
11.93	2065	2058
11.94	2067	2059
11.95	2037	2060
11.96	2071	2061
11.97	2103	2062
11.98	2095	2063
11.99	2080	2064
12.0	2071	2065
12.01	2086	2066
12.02	2101	2066
12.03	2124	2067
12.04	2104	2068
12.05	2062	2069
12.06	2017	2070
12.07	2104	2071
12.08	2115	2072
12.09	2054	2073
12.1	2028	2073
12.11	2033	2074
12.12	2115	2075
12.13	2144	2076
12.14	2095	2077
12.15	2052	2078
12.16	2072	2079
12.17	2104	2080
12.18	2073	2080
12.19	2146	2081
12.2	2232	2082
12.21	2168	2083
12.22	2068	2084
12.23	2079	2085
12.24	2091	2086
12.25	2099	2086
12.26	2145	2087
12.27	2103	2088
12.28	2103	2089
12.29	2061	2090
12.3	2052	2091
12.31	2060	2091
12.32	2106	2092
12.33	2063	2093
12.34	2082	2094
12.35	2112	2095
12.36	2047	2096
12.37	2085	2096
12.38	2098	2097
12.39	2076	2098
12.4	2107	2099
12.41	2094	2100
12.42	2066	2101
12.43	2107	2101
12.44	2124	2102
12.45	2073	2103
12.46	2096	2104
12.47	2162	2105
12.48	2144	2105
12.49	2127	2106
12.5	2117	2107
12.51	2115	2108
12.52	2138	2109
12.53	2158	2109
12.54	2155	2110
12.55	2123	2111
12.56	2131	2112
12.57	2101	2113
12.58	2088	2113
12.59	2104	2114
12.6	2138	2115
12.61	2127	2116
12.62	2122	2117
12.63	2122	2117
12.64	2137	2118
12.65	2174	2119
12.66	2094	2120
12.67	2134	2120
12.68	2117	2121
12.69	2123	2122
12.7	2177	2123
12.71	2155	2123
12.72	2149	2124
12.73	2142	2125
12.74	2162	2126
12.75	2192	2126
12.76	2158	2127
12.77	2139	2128
12.78	2144	2129
12.79	2157	2129
12.8	2163	2130
12.81	2141	2131
12.82	2194	2131
12.83	2164	2132
12.84	2187	2133
12.85	2128	2134
12.86	2144	2134
12.87	2107	2135
12.88	2135	2136
12.89	2154	2136
12.9	2160	2137
12.91	2190	2138
12.92	2143	2139
12.93	2115	2139
12.94	2215	2140
12.95	2229	2141
12.96	2215	2141
12.97	2183	2142
12.98	2159	2143
12.99	2193	2143
13.0	2195	2144
13.01	2151	2145
13.02	2134	2145
13.03	2205	2146
13.04	2152	2147
13.05	2084	2147
13.06	2158	2148
13.07	2177	2149
13.08	2204	2149
13.09	2184	2150
13.1	2136	2150
13.11	2180	2151
13.12	2229	2152
13.13	2223	2152
13.14	2157	2153
13.15	2142	2154
13.16	2182	2154
13.17	2154	2155
13.18	2117	2155
13.19	2206	2156
13.2	2197	2157
13.21	2171	2157
13.22	2148	2158
13.23	2130	2158
13.24	2145	2159
13.25	2195	2160
13.26	2206	2160
13.27	2199	2161
13.28	2158	2161
13.29	2257	2162
13.3	2226	2162
13.31	2191	2163
13.32	2206	2164
13.33	2212	2164
13.34	2201	2165
13.35	2223	2165
13.36	2182	2166
13.37	2178	2166
13.38	2219	2167
13.39	2289	2167
13.4	2300	2168
13.41	2222	2168
13.42	2176	2169
13.43	2176	2169
13.44	2187	2170
13.45	2219	2170
13.46	2246	2171
13.47	2191	2171
13.48	2178	2172
13.49	2155	2172
13.5	2220	2173
13.51	2233	2173
13.52	2225	2174
13.53	2200	2174
13.54	2196	2175
13.55	2210	2175
13.56	2239	2176
13.57	2208	2176
13.58	2181	2177
13.59	2186	2177
13.6	2167	2178
13.61	2170	2178
13.62	2147	2179
13.63	2164	2179
13.64	2205	2180
13.65	2190	2180
13.66	2217	2181
13.67	2212	2181
13.68	2179	2181
13.69	2222	2182
13.7	2227	2182
13.71	2239	2183
13.72	2224	2183
13.73	2253	2184
13.74	2228	2184
13.75	2231	2184
13.76	2244	2185
13.77	2210	2185
13.78	2199	2186
13.79	2221	2186
13.8	2252	2186
13.81	2260	2187
13.82	2255	2187
13.83	2259	2188
13.84	2222	2188
13.85	2245	2188
13.86	2249	2189
13.87	2237	2189
13.88	2201	2190
13.89	2244	2190
13.9	2260	2190
13.91	2295	2191
13.92	2258	2191
13.93	2211	2191
13.94	2186	2192
13.95	2222	2192
13.96	2231	2192
13.97	2229	2193
13.98	2233	2193
13.99	2232	2194
14.0	2243	2194
14.01	2252	2194
14.02	2221	2195
14.03	2240	2195
14.04	2310	2195
14.05	2284	2196
14.06	2219	2196
14.07	2202	2196
14.08	2228	2197
14.09	2258	2197
14.1	2225	2197
14.11	2226	2197
14.12	2243	2198
14.13	2215	2198
14.14	2211	2198
14.15	2268	2199
14.16	2277	2199
14.17	2288	2199
14.18	2244	2200
14.19	2212	2200
14.2	2238	2200
14.21	2263	2200
14.22	2279	2201
14.23	2245	2201
14.24	2243	2201
14.25	2287	2201
14.26	2294	2202
14.27	2295	2202
14.28	2274	2202
14.29	2272	2202
14.3	2286	2203
14.31	2278	2203
14.32	2256	2203
14.33	2267	2203
14.34	2276	2204
14.35	2322	2204
14.36	2312	2204
14.37	2340	2204
14.38	2330	2205
14.39	2295	2205
14.4	2293	2205
14.41	2282	2205
14.42	2221	2206
14.43	2225	2206
14.44	2276	2206
14.45	2301	2206
14.46	2283	2206
14.47	2242	2207
14.48	2234	2207
14.49	2249	2207
14.5	2225	2207
14.51	2242	2207
14.52	2255	2208
14.53	2252	2208
14.54	2303	2208
14.55	2243	2208
14.56	2237	2208
14.57	2245	2208
14.58	2281	2209
14.59	2265	2209
14.6	2218	2209
14.61	2201	2209
14.62	2189	2209
14.63	2228	2209
14.64	2231	2210
14.65	2234	2210
14.66	2265	2210
14.67	2266	2210
14.68	2279	2210
14.69	2314	2210
14.7	2311	2210
