Thick_Li2MnO3_0p8mm_
Wavelength = 1.54059 Å (Cu)
Angle	I(o)	I(b)
10.0	1491.0	1471.7
10.01	1443.0	1472.2
10.02	1447.0	1472.6
10.03	1488.0	1473.0
10.04	1525.0	1473.5
10.05	1548.0	1473.9
10.06	1505.0	1474.4
10.07	1537.0	1474.8
10.08	1503.0	1475.2
10.09	1501.0	1475.7
10.1	1490.0	1476.1
10.11	1537.0	1476.5
10.12	1486.0	1477.0
10.13	1484.0	1477.4
10.14	1507.0	1477.9
10.15	1504.0	1478.3
10.16	1504.0	1478.7
10.17	1495.0	1479.2
10.18	1503.0	1479.6
10.19	1575.0	1480.0
10.2	1518.0	1480.5
10.21	1488.0	1480.9
10.22	1484.0	1481.4
10.23	1460.0	1481.8
10.24	1492.0	1482.2
10.25	1490.0	1482.7
10.26	1504.0	1483.1
10.27	1499.0	1483.5
10.28	1433.0	1484.0
10.29	1413.0	1484.4
10.3	1532.0	1484.8
10.31	1504.0	1485.3
10.32	1455.0	1485.7
10.33	1469.0	1486.2
10.34	1479.0	1486.6
10.35	1523.0	1487.0
10.36	1572.0	1487.5
10.37	1525.0	1487.9
10.38	1557.0	1488.4
10.39	1525.0	1488.8
10.4	1438.0	1489.2
10.41	1449.0	1489.7
10.42	1518.0	1490.1
10.43	1504.0	1490.5
10.44	1493.0	1491.0
10.45	1498.0	1491.4
10.46	1509.0	1491.9
10.47	1554.0	1492.3
10.48	1532.0	1492.7
10.49	1527.0	1493.2
10.5	1512.0	1493.6
10.51	1521.0	1494.0
10.52	1534.0	1494.5
10.53	1518.0	1494.9
10.54	1521.0	1495.4
10.55	1457.0	1495.8
10.56	1529.0	1496.2
10.57	1596.0	1496.7
10.58	1586.0	1497.1
10.59	1534.0	1497.6
10.6	1513.0	1498.0
10.61	1557.0	1498.4
10.62	1556.0	1498.9
10.63	1543.0	1499.3
10.64	1542.0	1499.7
10.65	1522.0	1500.2
10.66	1548.0	1500.6
10.67	1500.0	1501.1
10.68	1509.0	1501.5
10.69	1533.0	1501.9
10.7	1548.0	1502.4
10.71	1512.0	1502.8
10.72	1570.0	1503.3
10.73	1572.0	1503.7
10.74	1504.0	1504.1
10.75	1488.0	1504.6
10.76	1527.0	1505.0
10.77	1477.0	1505.5
10.78	1468.0	1505.9
10.79	1488.0	1506.3
10.8	1515.0	1506.8
10.81	1555.0	1507.2
10.82	1556.0	1507.7
10.83	1551.0	1508.1
10.84	1567.0	1508.5
10.85	1553.0	1509.0
10.86	1594.0	1509.4
10.87	1539.0	1509.9
10.88	1541.0	1510.3
10.89	1488.0	1510.7
10.9	1515.0	1511.2
10.91	1567.0	1511.6
10.92	1526.0	1512.1
10.93	1555.0	1512.5
10.94	1537.0	1512.9
10.95	1511.0	1513.4
10.96	1567.0	1513.8
10.97	1550.0	1514.3
10.98	1533.0	1514.7
10.99	1579.0	1515.1
11.0	1602.0	1515.6
11.01	1579.0	1516.0
11.02	1594.0	1516.5
11.03	1562.0	1516.9
11.04	1498.0	1517.3
11.05	1513.0	1517.8
11.06	1532.0	1518.2
11.07	1572.0	1518.7
11.08	1566.0	1519.1
11.09	1604.0	1519.6
11.1	1569.0	1520.0
11.11	1536.0	1520.4
11.12	1547.0	1520.9
11.13	1561.0	1521.3
11.14	1531.0	1521.8
11.15	1573.0	1522.2
11.16	1628.0	1522.7
11.17	1566.0	1523.1
11.18	1548.0	1523.5
11.19	1571.0	1524.0
11.2	1573.0	1524.4
11.21	1559.0	1524.9
11.22	1559.0	1525.3
11.23	1521.0	1525.8
11.24	1541.0	1526.2
11.25	1542.0	1526.6
11.26	1521.0	1527.1
11.27	1492.0	1527.5
11.28	1534.0	1528.0
11.29	1584.0	1528.4
11.3	1555.0	1528.9
11.31	1575.0	1529.3
11.32	1610.0	1529.8
11.33	1592.0	1530.2
11.34	1572.0	1530.6
11.35	1612.0	1531.1
11.36	1588.0	1531.5
11.37	1581.0	1532.0
11.38	1579.0	1532.4
11.39	1552.0	1532.9
11.4	1565.0	1533.3
11.41	1569.0	1533.8
11.42	1581.0	1534.2
11.43	1559.0	1534.6
11.44	1559.0	1535.1
11.45	1543.0	1535.5
11.46	1549.0	1536.0
11.47	1550.0	1536.4
11.48	1574.0	1536.9
11.49	1601.0	1537.3
11.5	1584.0	1537.8
11.51	1572.0	1538.2
11.52	1614.0	1538.7
11.53	1640.0	1539.1
11.54	1613.0	1539.5
11.55	1571.0	1540.0
11.56	1576.0	1540.4
11.57	1631.0	1540.9
11.58	1584.0	1541.3
11.59	1585.0	1541.8
11.6	1575.0	1542.2
11.61	1588.0	1542.7
11.62	1569.0	1543.1
11.63	1609.0	1543.6
11.64	1578.0	1544.0
11.65	1586.0	1544.4
11.66	1590.0	1544.9
11.67	1587.0	1545.3
11.68	1549.0	1545.8
11.69	1561.0	1546.2
11.7	1561.0	1546.7
11.71	1600.0	1547.1
11.72	1645.0	1547.6
11.73	1610.0	1548.0
11.74	1576.0	1548.5
11.75	1613.0	1548.9
11.76	1599.0	1549.3
11.77	1581.0	1549.8
11.78	1631.0	1550.2
11.79	1621.0	1550.7
11.8	1637.0	1551.1
11.81	1593.0	1551.6
11.82	1576.0	1552.0
11.83	1592.0	1552.5
11.84	1589.0	1552.9
11.85	1596.0	1553.3
11.86	1604.0	1553.8
11.87	1606.0	1554.2
11.88	1596.0	1554.7
11.89	1557.0	1555.1
11.9	1571.0	1555.6
11.91	1590.0	1556.0
11.92	1618.0	1556.5
11.93	1592.0	1556.9
11.94	1628.0	1557.3
11.95	1627.0	1557.8
11.96	1612.0	1558.2
11.97	1628.0	1558.7
11.98	1610.0	1559.1
11.99	1625.0	1559.6
12.0	1639.0	1560.0
12.01	1609.0	1560.4
12.02	1554.0	1560.9
12.03	1579.0	1561.3
12.04	1600.0	1561.8
12.05	1611.0	1562.2
12.06	1599.0	1562.7
12.07	1605.0	1563.1
12.08	1562.0	1563.5
12.09	1575.0	1564.0
12.1	1606.0	1564.4
12.11	1655.0	1564.9
12.12	1615.0	1565.3
12.13	1635.0	1565.7
12.14	1670.0	1566.2
12.15	1641.0	1566.6
12.16	1622.0	1567.1
12.17	1640.0	1567.5
12.18	1654.0	1567.9
12.19	1607.0	1568.4
12.2	1646.0	1568.8
12.21	1662.0	1569.3
12.22	1650.0	1569.7
12.23	1656.0	1570.1
12.24	1666.0	1570.6
12.25	1662.0	1571.0
12.26	1602.0	1571.5
12.27	1631.0	1571.9
12.28	1626.0	1572.3
12.29	1598.0	1572.8
12.3	1598.0	1573.2
12.31	1618.0	1573.6
12.32	1613.0	1574.1
12.33	1632.0	1574.5
12.34	1683.0	1575.0
12.35	1669.0	1575.4
12.36	1617.0	1575.8
12.37	1674.0	1576.3
12.38	1691.0	1576.7
12.39	1679.0	1577.1
12.4	1637.0	1577.6
12.41	1645.0	1578.0
12.42	1682.0	1578.4
12.43	1687.0	1578.9
12.44	1672.0	1579.3
12.45	1666.0	1579.7
12.46	1703.0	1580.2
12.47	1692.0	1580.6
12.48	1633.0	1581.0
12.49	1678.0	1581.5
12.5	1685.0	1581.9
12.51	1653.0	1582.3
12.52	1616.0	1582.8
12.53	1619.0	1583.2
12.54	1626.0	1583.6
12.55	1644.0	1584.1
12.56	1671.0	1584.5
12.57	1676.0	1584.9
12.58	1647.0	1585.4
12.59	1627.0	1585.8
12.6	1632.0	1586.2
12.61	1628.0	1586.6
12.62	1663.0	1587.1
12.63	1675.0	1587.5
12.64	1673.0	1587.9
12.65	1680.0	1588.4
12.66	1650.0	1588.8
12.67	1702.0	1589.2
12.68	1662.0	1589.6
12.69	1691.0	1590.1
12.7	1692.0	1590.5
12.71	1629.0	1590.9
12.72	1617.0	1591.3
12.73	1714.0	1591.8
12.74	1736.0	1592.2
12.75	1639.0	1592.6
12.76	1623.0	1593.0
12.77	1641.0	1593.5
12.78	1634.0	1593.9
12.79	1673.0	1594.3
12.8	1684.0	1594.7
12.81	1673.0	1595.1
12.82	1667.0	1595.6
12.83	1673.0	1596.0
12.84	1626.0	1596.4
12.85	1684.0	1596.8
12.86	1696.0	1597.3
12.87	1660.0	1597.7
12.88	1727.0	1598.1
12.89	1670.0	1598.5
12.9	1643.0	1598.9
12.91	1639.0	1599.3
12.92	1638.0	1599.8
12.93	1625.0	1600.2
12.94	1613.0	1600.6
12.95	1630.0	1601.0
12.96	1674.0	1601.4
12.97	1668.0	1601.8
12.98	1624.0	1602.3
12.99	1617.0	1602.7
13.0	1653.0	1603.1
13.01	1715.0	1603.5
13.02	1688.0	1603.9
13.03	1684.0	1604.3
13.04	1690.0	1604.7
13.05	1714.0	1605.1
13.06	1684.0	1605.6
13.07	1731.0	1606.0
13.08	1710.0	1606.4
13.09	1704.0	1606.8
13.1	1727.0	1607.2
13.11	1729.0	1607.6
13.12	1720.0	1608.0
13.13	1722.0	1608.4
13.14	1662.0	1608.8
13.15	1613.0	1609.2
13.16	1664.0	1609.6
13.17	1722.0	1610.0
13.18	1728.0	1610.4
13.19	1680.0	1610.9
13.2	1710.0	1611.3
13.21	1742.0	1611.7
13.22	1699.0	1612.1
13.23	1699.0	1612.5
13.24	1714.0	1612.9
13.25	1718.0	1613.3
13.26	1726.0	1613.7
13.27	1739.0	1614.1
13.28	1719.0	1614.5
13.29	1751.0	1614.9
13.3	1743.0	1615.3
13.31	1746.0	1615.7
13.32	1697.0	1616.1
13.33	1690.0	1616.5
13.34	1688.0	1616.9
13.35	1667.0	1617.2
13.36	1683.0	1617.6
13.37	1689.0	1618.0
13.38	1709.0	1618.4
13.39	1691.0	1618.8
13.4	1708.0	1619.2
13.41	1741.0	1619.6
13.42	1762.0	1620.0
13.43	1705.0	1620.4
13.44	1670.0	1620.8
13.45	1661.0	1621.2
13.46	1661.0	1621.6
13.47	1695.0	1622.0
13.48	1724.0	1622.3
13.49	1716.0	1622.7
13.5	1691.0	1623.1
13.51	1728.0	1623.5
13.52	1713.0	1623.9
13.53	1762.0	1624.3
13.54	1738.0	1624.7
13.55	1702.0	1625.0
13.56	1668.0	1625.4
13.57	1712.0	1625.8
13.58	1727.0	1626.2
13.59	1704.0	1626.6
13.6	1747.0	1626.9
13.61	1739.0	1627.3
13.62	1713.0	1627.7
13.63	1715.0	1628.1
13.64	1752.0	1628.5
13.65	1720.0	1628.8
13.66	1693.0	1629.2
13.67	1716.0	1629.6
13.68	1699.0	1630.0
13.69	1701.0	1630.3
13.7	1728.0	1630.7
13.71	1743.0	1631.1
13.72	1702.0	1631.5
13.73	1757.0	1631.8
13.74	1760.0	1632.2
13.75	1726.0	1632.6
13.76	1691.0	1632.9
13.77	1694.0	1633.3
13.78	1718.0	1633.7
13.79	1708.0	1634.1
13.8	1732.0	1634.4
13.81	1761.0	1634.8
13.82	1725.0	1635.1
13.83	1694.0	1635.5
13.84	1723.0	1635.9
13.85	1777.0	1636.2
13.86	1730.0	1636.6
13.87	1669.0	1637.0
13.88	1685.0	1637.3
13.89	1687.0	1637.7
13.9	1701.0	1638.0
13.91	1699.0	1638.4
13.92	1689.0	1638.8
13.93	1722.0	1639.1
13.94	1699.0	1639.5
13.95	1735.0	1639.8
13.96	1734.0	1640.2
13.97	1726.0	1640.5
13.98	1771.0	1640.9
13.99	1762.0	1641.2
14.0	1744.0	1641.6
14.01	1748.0	1642.0
14.02	1776.0	1642.3
14.03	1762.0	1642.7
14.04	1740.0	1643.0
14.05	1761.0	1643.3
14.06	1763.0	1643.7
14.07	1704.0	1644.0
14.08	1692.0	1644.4
14.09	1749.0	1644.7
14.1	1751.0	1645.1
14.11	1742.0	1645.4
14.12	1750.0	1645.8
14.13	1754.0	1646.1
14.14	1751.0	1646.4
14.15	1747.0	1646.8
14.16	1722.0	1647.1
14.17	1733.0	1647.5
14.18	1736.0	1647.8
14.19	1737.0	1648.1
14.2	1752.0	1648.5
14.21	1766.0	1648.8
14.22	1737.0	1649.1
14.23	1739.0	1649.5
14.24	1772.0	1649.8
14.25	1748.0	1650.1
14.26	1730.0	1650.5
14.27	1720.0	1650.8
14.28	1730.0	1651.1
14.29	1725.0	1651.5
14.3	1738.0	1651.8
14.31	1785.0	1652.1
14.32	1773.0	1652.4
14.33	1735.0	1652.8
14.34	1729.0	1653.1
14.35	1750.0	1653.4
14.36	1750.0	1653.7
14.37	1726.0	1654.0
14.38	1707.0	1654.4
14.39	1716.0	1654.7
14.4	1713.0	1655.0
14.41	1731.0	1655.3
14.42	1720.0	1655.6
14.43	1766.0	1655.9
14.44	1770.0	1656.3
14.45	1768.0	1656.6
14.46	1727.0	1656.9
14.47	1721.0	1657.2
14.48	1772.0	1657.5
14.49	1747.0	1657.8
14.5	1686.0	1658.1
14.51	1707.0	1658.4
14.52	1740.0	1658.7
14.53	1767.0	1659.1
14.54	1772.0	1659.4
14.55	1789.0	1659.7
14.56	1748.0	1660.0
14.57	1754.0	1660.3
14.58	1750.0	1660.6
14.59	1712.0	1660.9
14.6	1723.0	1661.2
14.61	1704.0	1661.5
14.62	1726.0	1661.8
14.63	1776.0	1662.1
14.64	1786.0	1662.4
14.65	1745.0	1662.6
14.66	1741.0	1662.9
14.67	1751.0	1663.2
