Thick_LiMn2O4_0p6mm_
Wavelength = 1.54059 Å (Cu)
Angle	I(o)	I(b)
10.0	1535	1515
10.01	1536	1516
10.02	1500	1517
10.03	1525	1518
10.04	1521	1519
10.05	1557	1519
10.06	1522	1520
10.07	1545	1521
10.08	1533	1522
10.09	1514	1522
10.1	1516	1523
10.11	1492	1524
10.12	1491	1525
10.13	1472	1525
10.14	1491	1526
10.15	1521	1527
10.16	1540	1528
10.17	1508	1528
10.18	1512	1529
10.19	1515	1530
10.2	1491	1531
10.21	1490	1532
10.22	1523	1532
10.23	1571	1533
10.24	1548	1534
10.25	1549	1535
10.26	1552	1535
10.27	1561	1536
10.28	1531	1537
10.29	1554	1538
10.3	1575	1538
10.31	1556	1539
10.32	1567	1540
10.33	1538	1541
10.34	1603	1542
10.35	1534	1542
10.36	1502	1543
10.37	1527	1544
10.38	1516	1545
10.39	1583	1546
10.4	1566	1546
10.41	1586	1547
10.42	1593	1548
10.43	1576	1549
10.44	1566	1550
10.45	1540	1550
10.46	1509	1551
10.47	1541	1552
10.48	1540	1553
10.49	1565	1554
10.5	1521	1554
10.51	1516	1555
10.52	1493	1556
10.53	1539	1557
10.54	1608	1558
10.55	1596	1558
10.56	1615	1559
10.57	1565	1560
10.58	1518	1561
10.59	1561	1562
10.6	1534	1563
10.61	1519	1563
10.62	1548	1564
10.63	1615	1565
10.64	1616	1566
10.65	1606	1567
10.66	1582	1568
10.67	1596	1568
10.68	1588	1569
10.69	1539	1570
10.7	1563	1571
10.71	1581	1572
10.72	1611	1573
10.73	1587	1574
10.74	1604	1574
10.75	1602	1575
10.76	1605	1576
10.77	1571	1577
10.78	1613	1578
10.79	1648	1579
10.8	1597	1580
10.81	1572	1581
10.82	1589	1581
10.83	1585	1582
10.84	1543	1583
10.85	1603	1584
10.86	1621	1585
10.87	1560	1586
10.88	1579	1587
10.89	1618	1588
10.9	1609	1589
10.91	1603	1590
10.92	1590	1590
10.93	1657	1591
10.94	1606	1592
10.95	1612	1593
10.96	1600	1594
10.97	1619	1595
10.98	1603	1596
10.99	1640	1597
11.0	1665	1598
11.01	1633	1599
11.02	1631	1600
11.03	1637	1601
11.04	1614	1602
11.05	1645	1603
11.06	1635	1604
11.07	1606	1605
11.08	1599	1606
11.09	1637	1607
11.1	1645	1608
11.11	1615	1609
11.12	1594	1610
11.13	1642	1611
11.14	1637	1612
11.15	1581	1613
11.16	1642	1614
11.17	1584	1615
11.18	1660	1616
11.19	1641	1617
11.2	1635	1618
11.21	1634	1619
11.22	1659	1620
11.23	1678	1621
11.24	1643	1622
11.25	1626	1623
11.26	1673	1624
11.27	1687	1625
11.28	1657	1626
11.29	1648	1627
11.3	1688	1628
11.31	1614	1629
11.32	1578	1630
11.33	1637	1632
11.34	1675	1633
11.35	1719	1634
11.36	1660	1635
11.37	1646	1636
11.38	1670	1637
11.39	1642	1638
11.4	1654	1639
11.41	1620	1640
11.42	1661	1642
11.43	1684	1643
11.44	1696	1644
11.45	1627	1645
11.46	1620	1646
11.47	1640	1647
11.48	1697	1648
11.49	1715	1650
11.5	1663	1651
11.51	1659	1652
11.52	1694	1653
11.53	1662	1654
11.54	1678	1656
11.55	1678	1657
11.56	1683	1658
11.57	1682	1659
11.58	1703	1660
11.59	1673	1662
11.6	1666	1663
11.61	1666	1664
11.62	1679	1665
11.63	1673	1666
11.64	1686	1668
11.65	1654	1669
11.66	1668	1670
11.67	1673	1671
11.68	1670	1672
11.69	1675	1674
11.7	1749	1675
11.71	1761	1676
11.72	1656	1677
11.73	1664	1679
11.74	1684	1680
11.75	1681	1681
11.76	1745	1682
11.77	1707	1684
11.78	1698	1685
11.79	1659	1686
11.8	1699	1687
11.81	1681	1689
11.82	1691	1690
11.83	1709	1691
11.84	1668	1693
11.85	1686	1694
11.86	1642	1695
11.87	1701	1696
11.88	1743	1698
11.89	1777	1699
11.9	1744	1700
11.91	1691	1701
11.92	1756	1703
11.93	1779	1704
11.94	1773	1705
11.95	1758	1707
11.96	1757	1708
11.97	1804	1709
11.98	1749	1711
11.99	1755	1712
12.0	1733	1713
12.01	1715	1714
12.02	1676	1716
12.03	1725	1717
12.04	1759	1718
12.05	1744	1720
12.06	1706	1721
12.07	1744	1722
12.08	1753	1724
12.09	1719	1725
12.1	1715	1726
12.11	1743	1727
12.12	1761	1729
12.13	1774	1730
12.14	1772	1731
12.15	1759	1733
12.16	1738	1734
12.17	1781	1735
12.18	1771	1737
12.19	1751	1738
12.2	1732	1739
12.21	1763	1741
12.22	1804	1742
12.23	1785	1743
12.24	1730	1744
12.25	1762	1746
12.26	1756	1747
12.27	1735	1748
12.28	1787	1750
12.29	1791	1751
12.3	1850	1752
12.31	1814	1754
12.32	1734	1755
12.33	1789	1756
12.34	1811	1758
12.35	1791	1759
12.36	1786	1760
12.37	1748	1761
12.38	1752	1763
12.39	1783	1764
12.4	1770	1765
12.41	1762	1767
12.42	1777	1768
12.43	1716	1769
12.44	1778	1771
12.45	1825	1772
12.46	1809	1773
12.47	1820	1774
12.48	1787	1776
12.49	1831	1777
12.5	1800	1778
12.51	1795	1780
12.52	1760	1781
12.53	1749	1782
12.54	1781	1783
12.55	1809	1785
12.56	1814	1786
12.57	1828	1787
12.58	1844	1789
12.59	1800	1790
12.6	1806	1791
12.61	1775	1792
12.62	1798	1794
12.63	1761	1795
12.64	1833	1796
12.65	1784	1797
12.66	1750	1799
12.67	1808	1800
12.68	1790	1801
12.69	1841	1802
12.7	1858	1804
12.71	1841	1805
12.72	1837	1806
12.73	1849	1807
12.74	1820	1809
12.75	1771	1810
12.76	1831	1811
12.77	1859	1812
12.78	1809	1813
12.79	1826	1815
12.8	1811	1816
12.81	1803	1817
12.82	1815	1818
12.83	1831	1820
12.84	1858	1821
12.85	1856	1822
12.86	1865	1823
12.87	1859	1824
12.88	1877	1826
12.89	1846	1827
12.9	1889	1828
12.91	1856	1829
12.92	1866	1830
12.93	1864	1831
12.94	1860	1833
12.95	1871	1834
12.96	1868	1835
12.97	1861	1836
12.98	1800	1837
12.99	1819	1838
13.0	1857	1839
13.01	1823	1841
13.02	1816	1842
13.03	1869	1843
13.04	1859	1844
13.05	1834	1845
13.06	1786	1846
13.07	1738	1847
13.08	1810	1848
13.09	1828	1849
13.1	1860	1851
13.11	1867	1852
13.12	1915	1853
13.13	1874	1854
13.14	1855	1855
13.15	1862	1856
13.16	1868	1857
13.17	1860	1858
13.18	1843	1859
13.19	1873	1860
13.2	1918	1861
13.21	1867	1862
13.22	1870	1863
13.23	1878	1864
13.24	1841	1865
13.25	1856	1866
13.26	1866	1867
13.27	1881	1868
13.28	1862	1869
13.29	1859	1870
13.3	1849	1871
13.31	1877	1872
13.32	1875	1873
13.33	1879	1874
13.34	1894	1875
13.35	1896	1876
13.36	1860	1877
13.37	1883	1878
13.38	1892	1879
13.39	1907	1880
13.4	1935	1881
13.41	1923	1882
13.42	1884	1883
13.43	1890	1883
13.44	1921	1884
13.45	1965	1885
13.46	1933	1886
13.47	1892	1887
13.48	1897	1888
13.49	1923	1889
13.5	1896	1890
13.51	1905	1890
13.52	1907	1891
13.53	1895	1892
13.54	1866	1893
13.55	1887	1894
13.56	1941	1895
13.57	1944	1895
13.58	1912	1896
13.59	1938	1897
13.6	1907	1898
13.61	1889	1899
13.62	1896	1899
13.63	1954	1900
13.64	1943	1901
13.65	1916	1902
13.66	1880	1903
13.67	1863	1903
13.68	1914	1904
13.69	1919	1905
13.7	1882	1905
13.71	1884	1906
13.72	1911	1907
13.73	2002	1908
13.74	1954	1908
13.75	1926	1909
13.76	1907	1910
13.77	1932	1910
13.78	1963	1911
13.79	2000	1912
13.8	1958	1913
13.81	1941	1913
13.82	1972	1914
13.83	2002	1915
13.84	1982	1915
13.85	1939	1916
13.86	1934	1917
13.87	1991	1917
13.88	1964	1918
13.89	1931	1918
13.9	1882	1919
13.91	1920	1920
13.92	2000	1920
13.93	1992	1921
13.94	1973	1922
13.95	1904	1922
13.96	1910	1923
13.97	1955	1923
13.98	1960	1924
13.99	2012	1924
14.0	1980	1925
14.01	1971	1926
14.02	1954	1926
14.03	1948	1927
14.04	1942	1927
14.05	1951	1928
14.06	1947	1928
14.07	1944	1929
14.08	1962	1929
14.09	1986	1930
14.1	1973	1930
14.11	1963	1931
14.12	1953	1932
14.13	2001	1932
14.14	2005	1933
14.15	1988	1933
14.16	2008	1934
14.17	2048	1934
14.18	2021	1934
14.19	1990	1935
14.2	2019	1935
14.21	2000	1936
14.22	1953	1936
14.23	1985	1937
14.24	2006	1937
14.25	2009	1938
14.26	1998	1938
14.27	1993	1939
14.28	2030	1939
14.29	1971	1939
14.3	1960	1940
14.31	2004	1940
14.32	1990	1941
14.33	2003	1941
14.34	1987	1942
14.35	1943	1942
14.36	1973	1942
14.37	2003	1943
14.38	1995	1943
14.39	2041	1944
14.4	2048	1944
14.41	2003	1944
14.42	1994	1945
14.43	1998	1945
14.44	2009	1945
14.45	1998	1946
14.46	1970	1946
14.47	1946	1946
14.48	1992	1947
14.49	2010	1947
14.5	2021	1948
14.51	1957	1948
14.52	1933	1948
14.53	1976	1949
14.54	2029	1949
14.55	2019	1949
14.56	1976	1949
14.57	1982	1950
14.58	2004	1950
14.59	2026	1950
14.6	2029	1951
14.61	1986	1951
14.62	1949	1951
14.63	1967	1952
14.64	1989	1952
14.65	1977	1952
14.66	1986	1952
14.67	1992	1953
14.68	2005	1953
14.69	2026	1953
14.7	2001	1953
14.71	2018	1954
14.72	2027	1954
14.73	2016	1954
14.74	1970	1954
14.75	1964	1955
14.76	1996	1955
14.77	2010	1955
14.78	1988	1955
14.79	1986	1956
14.8	2016	1956
14.81	1972	1956
14.82	2004	1956
14.83	2044	1957
14.84	2047	1957
14.85	2045	1957
14.86	2006	1957
14.87	1972	1957
14.88	1995	1958
14.89	2025	1958
14.9	2039	1958
14.91	2019	1958
14.92	1998	1958
14.93	1976	1958
14.94	1988	1959
14.95	1988	1959
14.96	1968	1959
14.97	1981	1959
14.98	1986	1959
14.99	2008	1959
15.0	2031	1960
15.01	2018	1960
15.02	2011	1960
15.03	2008	1960
15.04	2001	1960
15.05	1968	1960
15.06	1984	1960
15.07	2024	1961
15.08	1999	1961
15.09	1988	1961
15.1	1990	1961
15.11	1994	1961
15.12	1976	1961
15.13	1986	1961
15.14	2002	1961
15.15	1976	1962
15.16	1929	1962
15.17	1955	1962
15.18	1978	1962
15.19	1963	1962
15.2	1957	1962
15.21	1957	1962
15.22	2002	1962
15.23	2058	1962
15.24	2089	1962
15.25	2067	1962
15.26	2009	1963
15.27	1999	1963
15.28	2018	1963
15.29	2022	1963
15.3	2032	1963
15.31	2004	1963
15.32	1979	1963
15.33	1971	1963
15.34	1981	1963
15.35	1997	1963
15.36	1985	1963
15.37	1984	1963
15.38	2014	1963
15.39	2014	1963
15.4	1984	1963
15.41	1992	1963
15.42	1998	1963
15.43	2008	1963
15.44	2027	1964
15.45	2038	1964
15.46	1992	1964
15.47	1979	1964
15.48	1990	1964
15.49	1988	1964
15.5	2018	1964
15.51	2024	1964
15.52	1993	1964
15.53	1978	1964
15.54	2001	1964
15.55	2015	1964
15.56	1958	1964
15.57	1966	1964
15.58	2028	1964
15.59	1988	1964
15.6	1986	1964
15.61	2011	1964
15.62	1984	1964
15.63	1966	1964
15.64	1943	1964
15.65	1953	1964
15.66	1979	1964
15.67	1984	1964
15.68	2016	1964
15.69	2010	1964
15.7	1988	1964
15.71	1982	1964
15.72	1976	1964
15.73	1996	1964
15.74	2031	1964
15.75	2003	1963
15.76	1962	1963
15.77	1986	1963
15.78	1989	1963
15.79	2005	1963
15.8	2016	1963
15.81	1998	1963
15.82	2031	1963
15.83	2014	1963
15.84	1993	1963
15.85	2004	1963
15.86	1983	1963
15.87	2012	1963
15.88	2054	1963
15.89	2072	1963
15.9	2026	1963
15.91	1984	1963
15.92	1949	1963
15.93	1938	1963
15.94	1960	1963
15.95	1975	1963
15.96	1997	1962
15.97	2003	1962
15.98	2010	1962
15.99	2004	1962
16.0	2004	1962
16.01	1975	1962
16.02	1995	1962
16.03	2030	1962
16.04	2028	1962
16.05	1983	1962
16.06	1957	1962
16.07	1977	1962
16.08	1986	1962
16.09	1999	1962
16.1	1989	1961
16.11	1968	1961
16.12	1985	1961
16.13	1988	1961
16.14	1976	1961
16.15	1977	1961
16.16	1996	1961
16.17	2002	1961
16.18	1984	1961
16.19	2005	1961
16.2	2021	1961
16.21	1992	1961
16.22	1986	1960
16.23	2005	1960
16.24	2037	1960
16.25	2054	1960
16.26	2028	1960
16.27	1953	1960
16.28	1950	1960
16.29	1975	1960
16.3	1967	1960
16.31	1994	1960
16.32	2014	1960
16.33	2000	1959
16.34	1985	1959
16.35	1993	1959
16.36	2041	1959
16.37	2035	1959
16.38	1999	1959
16.39	1990	1959
16.4	2004	1959
16.41	2001	1959
16.42	1959	1959
16.43	1950	1958
16.44	1985	1958
16.45	2001	1958
16.46	1992	1958
16.47	1972	1958
16.48	1995	1958
16.49	2017	1958
16.5	2027	1958
16.51	2034	1958
16.52	2020	1958
16.53	2007	1957
16.54	2027	1957
16.55	2025	1957
16.56	2018	1957
16.57	2041	1957
16.58	2047	1957
16.59	2027	1957
16.6	2007	1957
16.61	2005	1957
16.62	1996	1956
16.63	1985	1956
16.64	1991	1956
16.65	2005	1956
16.66	2031	1956
16.67	2047	1956
16.68	2032	1956
16.69	2028	1956
16.7	2037	1956
16.71	2070	1955
16.72	2032	1955
16.73	1976	1955
16.74	1977	1955
16.75	2030	1955
16.76	2020	1955
16.77	1992	1955
16.78	2000	1955
16.79	2031	1955
16.8	2023	1955
16.81	1980	1954
16.82	1998	1954
16.83	1984	1954
16.84	1955	1954
16.85	1995	1954
16.86	2030	1954
16.87	2034	1954
16.88	2050	1954
16.89	2015	1954
16.9	2002	1954
16.91	2037	1953
16.92	2058	1953
16.93	2063	1953
16.94	2045	1953
16.95	2010	1953
16.96	2013	1953
16.97	2031	1953
16.98	2014	1953
16.99	1993	1953
17.0	1997	1953
17.01	1994	1952
17.02	2005	1952
17.03	2004	1952
17.04	1986	1952
17.05	1988	1952
17.06	1981	1952
17.07	1948	1952
17.08	1954	1952
17.09	1985	1952
17.1	1981	1952
17.11	1967	1952
17.12	1985	1952
17.13	2001	1951
17.14	1989	1951
17.15	1990	1951
17.16	1992	1951
17.17	1959	1951
17.18	1959	1951
17.19	2014	1951
17.2	2037	1951
17.21	2034	1951
17.22	2019	1951
17.23	1965	1951
17.24	1943	1951
17.25	2005	1951
17.26	2012	1950
17.27	1987	1950
17.28	1999	1950
17.29	2017	1950
17.3	2013	1950
17.31	1992	1950
17.32	1992	1950
17.33	1967	1950
17.34	1971	1950
17.35	1977	1950
17.36	1961	1950
17.37	1963	1950
17.38	1967	1950
17.39	1966	1950
17.4	1979	1950
17.41	2006	1950
17.42	1994	1950
17.43	1960	1950
17.44	1987	1949
17.45	2017	1949
17.46	2019	1949
17.47	2023	1949
17.48	2009	1949
17.49	2009	1949
