Thick_LiMnO2_0p6mm_p
Wavelength = 1.54059 Å (Cu)
Angle	I(o)	I(b)
10.0	1545.0	1533.5
10.01	1544.0	1534.3
10.02	1529.0	1535.2
10.03	1542.0	1536.1
10.04	1547.0	1537.0
10.05	1546.0	1537.8
10.06	1520.0	1538.7
10.07	1587.0	1539.6
10.08	1578.0	1540.4
10.09	1571.0	1541.3
10.1	1601.0	1542.2
10.11	1563.0	1543.0
10.12	1587.0	1543.9
10.13	1576.0	1544.8
10.14	1611.0	1545.6
10.15	1550.0	1546.5
10.16	1506.0	1547.4
10.17	1563.0	1548.3
10.18	1587.0	1549.1
10.19	1559.0	1550.0
10.2	1592.0	1550.9
10.21	1578.0	1551.7
10.22	1564.0	1552.6
10.23	1574.0	1553.5
10.24	1615.0	1554.3
10.25	1641.0	1555.2
10.26	1569.0	1556.1
10.27	1557.0	1557.0
10.28	1555.0	1557.8
10.29	1493.0	1558.7
10.3	1564.0	1559.6
10.31	1590.0	1560.4
10.32	1585.0	1561.3
10.33	1611.0	1562.2
10.34	1586.0	1563.1
10.35	1563.0	1563.9
10.36	1615.0	1564.8
10.37	1582.0	1565.7
10.38	1617.0	1566.5
10.39	1587.0	1567.4
10.4	1593.0	1568.3
10.41	1617.0	1569.2
10.42	1605.0	1570.0
10.43	1611.0	1570.9
10.44	1583.0	1571.8
10.45	1599.0	1572.7
10.46	1596.0	1573.5
10.47	1580.0	1574.4
10.48	1604.0	1575.3
10.49	1569.0	1576.2
10.5	1583.0	1577.0
10.51	1577.0	1577.9
10.52	1582.0	1578.8
10.53	1609.0	1579.7
10.54	1568.0	1580.5
10.55	1599.0	1581.4
10.56	1649.0	1582.3
10.57	1598.0	1583.2
10.58	1617.0	1584.1
10.59	1612.0	1584.9
10.6	1634.0	1585.8
10.61	1640.0	1586.7
10.62	1597.0	1587.6
10.63	1596.0	1588.4
10.64	1625.0	1589.3
10.65	1604.0	1590.2
10.66	1607.0	1591.1
10.67	1653.0	1592.0
10.68	1648.0	1592.8
10.69	1600.0	1593.7
10.7	1567.0	1594.6
10.71	1597.0	1595.5
10.72	1629.0	1596.4
10.73	1620.0	1597.3
10.74	1610.0	1598.1
10.75	1600.0	1599.0
10.76	1592.0	1599.9
10.77	1611.0	1600.8
10.78	1607.0	1601.7
10.79	1644.0	1602.6
10.8	1642.0	1603.5
10.81	1620.0	1604.3
10.82	1615.0	1605.2
10.83	1605.0	1606.1
10.84	1636.0	1607.0
10.85	1619.0	1607.9
10.86	1643.0	1608.8
10.87	1646.0	1609.7
10.88	1632.0	1610.6
10.89	1621.0	1611.5
10.9	1619.0	1612.3
10.91	1611.0	1613.2
10.92	1577.0	1614.1
10.93	1669.0	1615.0
10.94	1632.0	1615.9
10.95	1611.0	1616.8
10.96	1603.0	1617.7
10.97	1588.0	1618.6
10.98	1659.0	1619.5
10.99	1675.0	1620.4
11.0	1690.0	1621.3
11.01	1673.0	1622.2
11.02	1696.0	1623.1
11.03	1645.0	1624.0
11.04	1654.0	1624.9
11.05	1650.0	1625.8
11.06	1629.0	1626.7
11.07	1602.0	1627.6
11.08	1610.0	1628.5
11.09	1655.0	1629.4
11.1	1669.0	1630.3
11.11	1641.0	1631.2
11.12	1591.0	1632.1
11.13	1627.0	1633.0
11.14	1672.0	1633.9
11.15	1651.0	1634.8
11.16	1615.0	1635.7
11.17	1621.0	1636.6
11.18	1621.0	1637.5
11.19	1679.0	1638.4
11.2	1673.0	1639.3
11.21	1689.0	1640.2
11.22	1680.0	1641.1
11.23	1653.0	1642.0
11.24	1657.0	1643.0
11.25	1688.0	1643.9
11.26	1622.0	1644.8
11.27	1659.0	1645.7
11.28	1670.0	1646.6
11.29	1651.0	1647.5
11.3	1676.0	1648.4
11.31	1680.0	1649.3
11.32	1671.0	1650.2
11.33	1676.0	1651.2
11.34	1722.0	1652.1
11.35	1692.0	1653.0
11.36	1675.0	1653.9
11.37	1654.0	1654.8
11.38	1658.0	1655.7
11.39	1646.0	1656.7
11.4	1645.0	1657.6
11.41	1613.0	1658.5
11.42	1643.0	1659.4
11.43	1726.0	1660.3
11.44	1737.0	1661.2
11.45	1659.0	1662.2
11.46	1678.0	1663.1
11.47	1686.0	1664.0
11.48	1694.0	1664.9
11.49	1677.0	1665.8
11.5	1672.0	1666.8
11.51	1632.0	1667.7
11.52	1671.0	1668.6
11.53	1700.0	1669.5
11.54	1714.0	1670.4
11.55	1747.0	1671.4
11.56	1697.0	1672.3
11.57	1673.0	1673.2
11.58	1660.0	1674.1
11.59	1672.0	1675.0
11.6	1639.0	1676.0
11.61	1712.0	1676.9
11.62	1713.0	1677.8
11.63	1696.0	1678.7
11.64	1706.0	1679.7
11.65	1694.0	1680.6
11.66	1723.0	1681.5
11.67	1714.0	1682.4
11.68	1696.0	1683.4
11.69	1680.0	1684.3
11.7	1653.0	1685.2
11.71	1658.0	1686.1
11.72	1649.0	1687.0
11.73	1685.0	1688.0
11.74	1664.0	1688.9
11.75	1664.0	1689.8
11.76	1686.0	1690.7
11.77	1641.0	1691.7
11.78	1658.0	1692.6
11.79	1688.0	1693.5
11.8	1741.0	1694.4
11.81	1755.0	1695.4
11.82	1722.0	1696.3
11.83	1680.0	1697.2
11.84	1714.0	1698.1
11.85	1690.0	1699.1
11.86	1702.0	1700.0
11.87	1735.0	1700.9
11.88	1752.0	1701.8
11.89	1755.0	1702.8
11.9	1752.0	1703.7
11.91	1770.0	1704.6
11.92	1714.0	1705.5
11.93	1711.0	1706.4
11.94	1778.0	1707.4
11.95	1810.0	1708.3
11.96	1755.0	1709.2
11.97	1744.0	1710.1
11.98	1749.0	1711.1
11.99	1778.0	1712.0
12.0	1722.0	1712.9
12.01	1692.0	1713.8
12.02	1786.0	1714.8
12.03	1769.0	1715.7
12.04	1784.0	1716.6
12.05	1759.0	1717.5
12.06	1715.0	1718.4
12.07	1704.0	1719.4
12.08	1726.0	1720.3
12.09	1752.0	1721.2
12.1	1717.0	1722.1
12.11	1767.0	1723.0
12.12	1811.0	1724.0
12.13	1768.0	1724.9
12.14	1759.0	1725.8
12.15	1773.0	1726.7
12.16	1739.0	1727.6
12.17	1758.0	1728.6
12.18	1778.0	1729.5
12.19	1791.0	1730.4
12.2	1771.0	1731.3
12.21	1769.0	1732.2
12.22	1806.0	1733.1
12.23	1765.0	1734.1
12.24	1778.0	1735.0
12.25	1798.0	1735.9
12.26	1787.0	1736.8
12.27	1787.0	1737.7
12.28	1803.0	1738.6
12.29	1817.0	1739.5
12.3	1820.0	1740.5
12.31	1799.0	1741.4
12.32	1769.0	1742.3
12.33	1767.0	1743.2
12.34	1783.0	1744.1
12.35	1752.0	1745.0
12.36	1752.0	1745.9
12.37	1808.0	1746.8
12.38	1814.0	1747.7
12.39	1791.0	1748.7
12.4	1768.0	1749.6
12.41	1818.0	1750.5
12.42	1810.0	1751.4
12.43	1823.0	1752.3
12.44	1746.0	1753.2
12.45	1749.0	1754.1
12.46	1804.0	1755.0
12.47	1767.0	1755.9
12.48	1733.0	1756.8
12.49	1736.0	1757.7
12.5	1796.0	1758.6
12.51	1784.0	1759.5
12.52	1725.0	1760.4
12.53	1791.0	1761.3
12.54	1814.0	1762.2
12.55	1781.0	1763.1
12.56	1736.0	1764.0
12.57	1774.0	1764.9
12.58	1808.0	1765.8
12.59	1787.0	1766.7
12.6	1803.0	1767.6
12.61	1822.0	1768.5
12.62	1835.0	1769.4
12.63	1843.0	1770.3
12.64	1783.0	1771.2
12.65	1836.0	1772.1
12.66	1861.0	1773.0
12.67	1809.0	1773.9
12.68	1825.0	1774.7
12.69	1795.0	1775.6
12.7	1762.0	1776.5
12.71	1797.0	1777.4
12.72	1811.0	1778.3
12.73	1823.0	1779.2
12.74	1826.0	1780.1
12.75	1796.0	1781.0
12.76	1775.0	1781.8
12.77	1726.0	1782.7
12.78	1771.0	1783.6
12.79	1789.0	1784.5
12.8	1755.0	1785.4
12.81	1778.0	1786.2
12.82	1816.0	1787.1
12.83	1859.0	1788.0
12.84	1871.0	1788.9
12.85	1930.0	1789.8
12.86	1855.0	1790.6
12.87	1863.0	1791.5
12.88	1809.0	1792.4
12.89	1809.0	1793.2
12.9	1887.0	1794.1
12.91	1835.0	1795.0
12.92	1841.0	1795.9
12.93	1836.0	1796.7
12.94	1856.0	1797.6
12.95	1868.0	1798.5
12.96	1832.0	1799.3
12.97	1809.0	1800.2
12.98	1834.0	1801.0
12.99	1828.0	1801.9
13.0	1817.0	1802.8
13.01	1819.0	1803.6
13.02	1817.0	1804.5
13.03	1793.0	1805.3
13.04	1788.0	1806.2
13.05	1815.0	1807.1
13.06	1833.0	1807.9
13.07	1882.0	1808.8
13.08	1874.0	1809.6
13.09	1854.0	1810.5
13.1	1819.0	1811.3
13.11	1818.0	1812.2
13.12	1860.0	1813.0
13.13	1910.0	1813.9
13.14	1831.0	1814.7
13.15	1816.0	1815.5
13.16	1844.0	1816.4
13.17	1852.0	1817.2
13.18	1859.0	1818.1
13.19	1851.0	1818.9
13.2	1852.0	1819.7
13.21	1843.0	1820.6
13.22	1847.0	1821.4
13.23	1821.0	1822.2
13.24	1810.0	1823.1
13.25	1844.0	1823.9
13.26	1833.0	1824.7
13.27	1877.0	1825.6
13.28	1899.0	1826.4
13.29	1892.0	1827.2
