Thick_MnF2_0p6mm_pel
Wavelength = 1.54059 Å (Cu)
Angle	I(o)	I(b)
10.0	1822.0	1834.0
10.01	1838.0	1835.5
10.02	1847.0	1837.1
10.03	1863.0	1838.7
10.04	1842.0	1840.3
10.05	1852.0	1841.8
10.06	1889.0	1843.4
10.07	1906.0	1845.0
10.08	1937.0	1846.6
10.09	1899.0	1848.1
10.1	1919.0	1849.7
10.11	1854.0	1851.3
10.12	1860.0	1852.9
10.13	1881.0	1854.4
10.14	1882.0	1856.0
10.15	1886.0	1857.6
10.16	1884.0	1859.2
10.17	1896.0	1860.7
10.18	1936.0	1862.3
10.19	1966.0	1863.9
10.2	1941.0	1865.5
10.21	1905.0	1867.0
10.22	1951.0	1868.6
10.23	1953.0	1870.2
10.24	1887.0	1871.8
10.25	1902.0	1873.3
10.26	1912.0	1874.9
10.27	1918.0	1876.5
10.28	1870.0	1878.1
10.29	1922.0	1879.7
10.3	1965.0	1881.2
10.31	1921.0	1882.8
10.32	1931.0	1884.4
10.33	1933.0	1886.0
10.34	1978.0	1887.5
10.35	1928.0	1889.1
10.36	1933.0	1890.7
10.37	1961.0	1892.3
10.38	1955.0	1893.9
10.39	1967.0	1895.4
10.4	1925.0	1897.0
10.41	1891.0	1898.6
10.42	1890.0	1900.2
10.43	1907.0	1901.8
10.44	1943.0	1903.3
10.45	1918.0	1904.9
10.46	1915.0	1906.5
10.47	1885.0	1908.1
10.48	1905.0	1909.7
10.49	1960.0	1911.3
10.5	1955.0	1912.8
10.51	1948.0	1914.4
10.52	1999.0	1916.0
10.53	1956.0	1917.6
10.54	1960.0	1919.2
10.55	2008.0	1920.8
10.56	1970.0	1922.3
10.57	1979.0	1923.9
10.58	1958.0	1925.5
10.59	1979.0	1927.1
10.6	1969.0	1928.7
10.61	1947.0	1930.3
10.62	1930.0	1931.9
10.63	1963.0	1933.5
10.64	1985.0	1935.1
10.65	2013.0	1936.6
10.66	1977.0	1938.2
10.67	1952.0	1939.8
10.68	2029.0	1941.4
10.69	2017.0	1943.0
10.7	1976.0	1944.6
10.71	1956.0	1946.2
10.72	2013.0	1947.8
10.73	1956.0	1949.4
10.74	1993.0	1951.0
10.75	1963.0	1952.6
10.76	1937.0	1954.2
10.77	1984.0	1955.8
10.78	1974.0	1957.4
10.79	1973.0	1959.0
10.8	1982.0	1960.6
10.81	2002.0	1962.2
10.82	1950.0	1963.8
10.83	2000.0	1965.4
10.84	2013.0	1967.0
10.85	2040.0	1968.6
10.86	2010.0	1970.2
10.87	2024.0	1971.8
10.88	2047.0	1973.4
10.89	1980.0	1975.0
10.9	2011.0	1976.6
10.91	2021.0	1978.2
10.92	2042.0	1979.8
10.93	2000.0	1981.4
10.94	2028.0	1983.0
10.95	2000.0	1984.6
10.96	1996.0	1986.2
10.97	2012.0	1987.8
10.98	1973.0	1989.5
10.99	2011.0	1991.1
11.0	2040.0	1992.7
11.01	2057.0	1994.3
11.02	2049.0	1995.9
11.03	2022.0	1997.5
11.04	2024.0	1999.1
11.05	2030.0	2000.8
11.06	1970.0	2002.4
11.07	2040.0	2004.0
11.08	1990.0	2005.6
11.09	2024.0	2007.2
11.1	2034.0	2008.9
11.11	2015.0	2010.5
11.12	2008.0	2012.1
11.13	2009.0	2013.7
11.14	2075.0	2015.3
11.15	2073.0	2017.0
11.16	2118.0	2018.6
11.17	2108.0	2020.2
11.18	2034.0	2021.9
11.19	2034.0	2023.5
11.2	2036.0	2025.1
11.21	2069.0	2026.7
11.22	2089.0	2028.4
11.23	2011.0	2030.0
11.24	1996.0	2031.6
11.25	2075.0	2033.3
11.26	2079.0	2034.9
11.27	2076.0	2036.5
11.28	2042.0	2038.2
11.29	2086.0	2039.8
11.3	2108.0	2041.4
11.31	2111.0	2043.1
11.32	2177.0	2044.7
11.33	2097.0	2046.3
11.34	2068.0	2048.0
11.35	2075.0	2049.6
11.36	2032.0	2051.3
11.37	2051.0	2052.9
11.38	2094.0	2054.5
11.39	2127.0	2056.2
11.4	2077.0	2057.8
11.41	2099.0	2059.5
11.42	2046.0	2061.1
11.43	2026.0	2062.7
11.44	2074.0	2064.4
11.45	2082.0	2066.0
11.46	2086.0	2067.7
11.47	2065.0	2069.3
11.48	2056.0	2071.0
11.49	2097.0	2072.6
11.5	2124.0	2074.3
11.51	2126.0	2075.9
11.52	2137.0	2077.5
11.53	2147.0	2079.2
11.54	2118.0	2080.8
11.55	2085.0	2082.5
11.56	2136.0	2084.1
11.57	2135.0	2085.8
11.58	2142.0	2087.4
11.59	2151.0	2089.1
11.6	2109.0	2090.7
11.61	2057.0	2092.4
11.62	2086.0	2094.0
11.63	2047.0	2095.7
11.64	2148.0	2097.3
11.65	2098.0	2099.0
11.66	2117.0	2100.6
11.67	2104.0	2102.3
11.68	2142.0	2103.9
11.69	2137.0	2105.6
11.7	2165.0	2107.3
11.71	2221.0	2108.9
11.72	2182.0	2110.6
11.73	2154.0	2112.2
11.74	2106.0	2113.9
11.75	2117.0	2115.5
11.76	2130.0	2117.2
11.77	2161.0	2118.8
11.78	2176.0	2120.5
11.79	2178.0	2122.1
11.8	2164.0	2123.8
11.81	2130.0	2125.5
11.82	2071.0	2127.1
11.83	2135.0	2128.8
11.84	2170.0	2130.4
11.85	2165.0	2132.1
11.86	2173.0	2133.7
11.87	2191.0	2135.4
11.88	2136.0	2137.0
11.89	2151.0	2138.7
11.9	2169.0	2140.4
11.91	2173.0	2142.0
11.92	2162.0	2143.7
11.93	2139.0	2145.3
11.94	2160.0	2147.0
11.95	2159.0	2148.6
11.96	2158.0	2150.3
11.97	2150.0	2151.9
11.98	2188.0	2153.6
11.99	2188.0	2155.3
12.0	2131.0	2156.9
12.01	2174.0	2158.6
12.02	2216.0	2160.2
12.03	2141.0	2161.9
12.04	2099.0	2163.5
12.05	2133.0	2165.2
12.06	2185.0	2166.9
12.07	2218.0	2168.5
12.08	2212.0	2170.2
12.09	2186.0	2171.8
12.1	2181.0	2173.5
12.11	2192.0	2175.1
12.12	2159.0	2176.8
12.13	2124.0	2178.4
12.14	2124.0	2180.1
12.15	2145.0	2181.8
12.16	2174.0	2183.4
12.17	2219.0	2185.1
12.18	2187.0	2186.7
12.19	2126.0	2188.4
12.2	2127.0	2190.0
12.21	2175.0	2191.7
12.22	2172.0	2193.3
12.23	2151.0	2195.0
12.24	2152.0	2196.6
12.25	2162.0	2198.3
12.26	2211.0	2200.0
12.27	2242.0	2201.6
12.28	2214.0	2203.3
12.29	2171.0	2204.9
12.3	2256.0	2206.6
12.31	2267.0	2208.2
12.32	2268.0	2209.9
12.33	2202.0	2211.5
12.34	2189.0	2213.2
12.35	2196.0	2214.8
12.36	2198.0	2216.5
12.37	2192.0	2218.1
12.38	2198.0	2219.8
12.39	2232.0	2221.4
12.4	2246.0	2223.1
12.41	2264.0	2224.7
12.42	2293.0	2226.4
12.43	2257.0	2228.0
12.44	2208.0	2229.7
12.45	2191.0	2231.3
12.46	2161.0	2232.9
12.47	2196.0	2234.6
12.48	2239.0	2236.2
12.49	2237.0	2237.9
12.5	2236.0	2239.5
12.51	2287.0	2241.2
12.52	2267.0	2242.8
12.53	2210.0	2244.5
12.54	2242.0	2246.1
12.55	2285.0	2247.7
12.56	2277.0	2249.4
12.57	2262.0	2251.0
12.58	2209.0	2252.7
12.59	2230.0	2254.3
12.6	2263.0	2255.9
12.61	2242.0	2257.6
12.62	2235.0	2259.2
12.63	2253.0	2260.9
12.64	2251.0	2262.5
12.65	2280.0	2264.1
12.66	2320.0	2265.8
12.67	2296.0	2267.4
12.68	2259.0	2269.0
12.69	2227.0	2270.7
12.7	2231.0	2272.3
12.71	2286.0	2273.9
12.72	2309.0	2275.6
12.73	2335.0	2277.2
12.74	2311.0	2278.8
12.75	2214.0	2280.5
12.76	2201.0	2282.1
12.77	2253.0	2283.7
12.78	2295.0	2285.3
12.79	2292.0	2287.0
12.8	2298.0	2288.6
12.81	2299.0	2290.2
12.82	2234.0	2291.8
12.83	2241.0	2293.5
12.84	2263.0	2295.1
12.85	2309.0	2296.7
12.86	2311.0	2298.3
12.87	2351.0	2299.9
12.88	2339.0	2301.6
12.89	2288.0	2303.2
12.9	2290.0	2304.8
12.91	2278.0	2306.4
12.92	2289.0	2308.0
12.93	2332.0	2309.7
12.94	2338.0	2311.3
12.95	2319.0	2312.9
12.96	2343.0	2314.5
12.97	2304.0	2316.1
12.98	2302.0	2317.7
12.99	2307.0	2319.3
13.0	2281.0	2320.9
13.01	2329.0	2322.5
13.02	2339.0	2324.2
13.03	2295.0	2325.8
13.04	2252.0	2327.4
13.05	2371.0	2329.0
13.06	2369.0	2330.6
13.07	2312.0	2332.2
13.08	2327.0	2333.8
13.09	2334.0	2335.4
13.1	2351.0	2337.0
13.11	2294.0	2338.6
13.12	2351.0	2340.2
13.13	2405.0	2341.8
13.14	2365.0	2343.4
13.15	2334.0	2345.0
13.16	2336.0	2346.6
