Thick_TiO2_0p6mm_pel
Wavelength = 1.54059 Å (Cu)
Angle	I(o)	I(b)
10.0	2363.0	2346.7
10.01	2369.0	2347.0
10.02	2360.0	2347.3
10.03	2343.0	2347.6
10.04	2334.0	2347.9
10.05	2282.0	2348.1
10.06	2311.0	2348.4
10.07	2353.0	2348.7
10.08	2344.0	2349.0
10.09	2352.0	2349.3
10.1	2404.0	2349.6
10.11	2360.0	2349.8
10.12	2285.0	2350.1
10.13	2325.0	2350.4
10.14	2315.0	2350.7
10.15	2389.0	2351.0
10.16	2344.0	2351.2
10.17	2323.0	2351.5
10.18	2294.0	2351.8
10.19	2304.0	2352.1
10.2	2351.0	2352.4
10.21	2349.0	2352.7
10.22	2373.0	2353.0
10.23	2415.0	2353.2
10.24	2389.0	2353.5
10.25	2353.0	2353.8
10.26	2377.0	2354.1
10.27	2385.0	2354.4
10.28	2369.0	2354.7
10.29	2362.0	2355.0
10.3	2395.0	2355.3
10.31	2290.0	2355.6
10.32	2283.0	2355.8
10.33	2322.0	2356.1
10.34	2360.0	2356.4
10.35	2353.0	2356.7
10.36	2407.0	2357.0
10.37	2406.0	2357.3
10.38	2390.0	2357.6
10.39	2321.0	2357.9
10.4	2284.0	2358.2
10.41	2304.0	2358.5
10.42	2310.0	2358.8
10.43	2380.0	2359.1
10.44	2380.0	2359.4
10.45	2299.0	2359.7
10.46	2311.0	2360.0
10.47	2349.0	2360.3
10.48	2334.0	2360.6
10.49	2337.0	2360.9
10.5	2406.0	2361.3
10.51	2391.0	2361.6
10.52	2360.0	2361.9
10.53	2402.0	2362.2
10.54	2356.0	2362.5
10.55	2393.0	2362.8
10.56	2334.0	2363.1
10.57	2322.0	2363.5
10.58	2310.0	2363.8
10.59	2406.0	2364.1
10.6	2352.0	2364.4
10.61	2371.0	2364.8
10.62	2371.0	2365.1
10.63	2365.0	2365.4
10.64	2379.0	2365.7
10.65	2396.0	2366.1
10.66	2375.0	2366.4
10.67	2342.0	2366.7
10.68	2309.0	2367.1
10.69	2378.0	2367.4
10.7	2365.0	2367.8
